SIRET DESTINATAIRE;CODE EPCI;SIRET EPCI;ANNEE;CODE DSF;CODE COMMUNE;CODE VOIE;PREFIXE DE SECTION;SECTION CADASTRALE;NUMERO DE PLAN;NUMERO DE BATIMENT;NUMERO D ENTREE/D ESCALIER;ETAGE;NUMERO DE PORTE;NUMERO DE VOIRIE;CODE INDICE DE REPETITION;ADRESSE;CODE POSTAL;LIBELLE COMMUNE;PROPRIETAIRE;INVARIANT DU LOCAL;CODE NATURE DU LOCAL;CODE AFFECTATION DU LOCAL;CATEGORIE REVISEE;VALEUR LOCATIVE REVISEE DU DESCRIPTIF;CODE SIE                                   
21930010000019;863;20005787500011;2021;930;010;3580;;AF;0230;B;01;00;02001;11;;RUE FREMIN;93140;BONDY;COMMUNE DE BONDY;930101025223;CB;C;BUR1;9720;9300300;                                                                                                                                                                                                                                                                                                             
21930010000019;863;20005787500011;2021;930;010;4436;;Q;0005;B;03;00;07001;19;;AV HENRI BARBUSSE;93140;BONDY;COMMUNE DE BONDY;930101026715;CB;C;BUR1;98324;9300300;                                                                                                                                                                                                                                                                                                      
21930010000019;863;20005787500011;2021;930;010;4449;;C;0156;A;06;00;01001;10;;AV HENRI VARAGNAT;93140;BONDY;COMMUNE DE BONDY;930101029382;CB;C;BUR1;276144;9300300;                                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;8159;;AD;0052;A;01;00;01001;25;;CRS DE LA REPUBLIQUE;93140;BONDY;COMMUNE DE BONDY;930101031627;CB;C;SPE1;117312;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;4775;;I;0099;A;02;00;01001;29;B;RUE JULES GUESDE;93140;BONDY;COMMUNE DE BONDY;930101032436;CB;C;BUR1;10412556;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;5170;;AL;0206;A;01;00;01001;90;B;RUE LOUIS AUGUSTE BLANQUI;93140;BONDY;COMMUNE DE BONDY;930101032437;CB;C;BUR1;65898;9300300;                                                                                                                                                                                                                                                                                            
21930010000019;863;20005787500011;2021;930;010;4436;;Q;0031;C;01;00;01001;77;;AV HENRI BARBUSSE;93140;BONDY;COMMUNE DE BONDY;930101036131;CB;C;BUR1;827386;9300300;                                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;0075;;J;0318;C;04;00;01001;30;;RUE AUGUSTE POLISSARD;93140;BONDY;COMMUNE DE BONDY;930101036958;CB;C;DEP2;142959;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;0068;;J;0236;A;03;82;02001;1;;PL ARTHUR RIMBAUD;93140;BONDY;COMMUNE DE BONDY;930101041944;CB;C;DEP2;27669;9300300;                                                                                                                                                                                                                                                                                                       
21930010000019;863;20005787500011;2021;930;010;0068;;J;0236;A;03;81;02001;1;;PL ARTHUR RIMBAUD;93140;BONDY;COMMUNE DE BONDY;930101041945;CB;C;DEP2;17128;9300300;                                                                                                                                                                                                                                                                                                       
21930010000019;863;20005787500011;2021;930;010;0068;;J;0236;A;03;81;03001;1;;PL ARTHUR RIMBAUD;93140;BONDY;COMMUNE DE BONDY;930101041946;CB;C;DEP2;21191;9300300;                                                                                                                                                                                                                                                                                                       
21930010000019;863;20005787500011;2021;930;010;7130;;N;0034;B;01;00;02001;60;;AV PASTEUR;93140;BONDY;COMMUNE DE BONDY;930101043359;CB;C;BUR1;36610;9300300;                                                                                                                                                                                                                                                                                                             
21930010000019;863;20005787500011;2021;930;010;8172;;AD;0145;A;04;00;01001;9;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930101043411;CB;C;BUR2;23970;9300300;                                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;6179;;C;0179;A;01;00;01001;7;;AV MAURICE BENHAMOU;93140;BONDY;COMMUNE DE BONDY;930101045005;CB;C;BUR1;40794;9300300;                                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;7142;;AH;0078;A;01;00;01001;28;;RUE PAUL VAILLANT COUTURIER;93140;BONDY;COMMUNE DE BONDY;930101045009;CB;C;BUR1;56046;9300300;                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;0082;;B;0303;A;01;00;01001;37;;RTE D AULNAY;93140;BONDY;COMMUNE DE BONDY;930101048149;CB;C;BUR1;46078;9300300;                                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;9100;;A;0301;A;01;00;01001;8;;RUE DE LA TERRE SAINT BLAISE;93140;BONDY;COMMUNE DE BONDY;930101048158;CB;C;BUR1;59622;9300300;                                                                                                                                                                                                                                                                                            
21930010000019;863;20005787500011;2021;930;010;7142;;AE;0042;A;01;00;01001;19;;RUE PAUL VAILLANT COUTURIER;93140;BONDY;COMMUNE DE BONDY;930101048159;CB;C;BUR1;50932;9300300;                                                                                                                                                                                                                                                                                           
