"","NATURE","NOM","NOM_1_G","usage","nom"
"248","R","GUY DE MAUPASSANT","R GUY DE MAUPASSANT",NA,"Habib"
"254","VLA","BREUIL","VLA DU BREUIL","privé","Habib"
"256","ALL","PRIMEVERES","ALL DES PRIMEVERES","privé","Habib"
"258.1","CH","PONT","CH DU PONT",NA,"Habib"
"260","R","ABBE MAURICE BAURIT","R DE L'ABBE MAURICE BAURIT","privé","Habib"
"262","PL","GEORGES LYSSANDRE","PL GEORGES LYSSANDRE","privé","Habib"
"269","R","GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé","Habib"
"270","VLA","THOREL","VLA THOREL",NA,"Habib"
"278","R","JULES AUFFRET","R JULES AUFFRET",NA,"Habib"
"279","R","CESAR DELAINE","R CESAR DELAINE",NA,"Habib"
"281","SQ","8 MAI 1945","SQ DU 8 MAI 1945",NA,"Habib"
"286","VLA","GABRIEL SEAILLES","VLA GABRIEL SEAILLES","privé","Habib"
"289","R","PRESSENSE","R DE PRESSENSE",NA,"Habib"
"295","R","FRERES DARTY","R DES FRERES DARTY",NA,"Habib"
"299","R","HENRI ALPY","R HENRI ALPY",NA,"Habib"
"305","R","HENRY ESPAULLARD","R HENRY ESPAULLARD",NA,"Habib"
"307","VLA","CERISES","VLA DES CERISES","privé","Habib"
"309","R","5 ORMES","R DES 5 ORMES",NA,"Habib"
"312","R","AMEDEE GUYARD","R AMEDEE GUYARD",NA,"Habib"
"316","PL","11 NOVEMBRE 1918","PL DU 11 NOVEMBRE 1918",NA,"Habib"
"318","ALL","RASPAIL","ALL RASPAIL",NA,"Habib"
"322","R","CHARLES FERDINAND","R CHARLES FERDINAND",NA,"Habib"
"323","R","AUGUSTE POLISSARD","R AUGUSTE POLISSARD",NA,"Habib"
"345.1","RTE","AULNAY","RTE D'AULNAY",NA,"Habib"
"347","AV","MAL DE LATTRE DE TASSIGNY","AV MAL DE LATTRE DE TASSIGNY",NA,"Habib"
"353","R","COQ GAULOIS","R DU COQ GAULOIS",NA,"Habib"
"355","AV","HENRI BARBUSSE","AV HENRI BARBUSSE",NA,"Habib"
"356","R","JULES GUESDE","R JULES GUESDE",NA,"Habib"
"357","R","LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI",NA,"Habib"
"367","ESPL","CLAUDE FUZIER","ESPL CLAUDE FUZIER",NA,"Habib"
"4","RTE","VILLEMOMBLE","RTE DE VILLEMOMBLE",NA,"Rachid"
"7","AV","ROUGET DE LISLE","AV ROUGET DE LISLE",NA,"Rachid"
"11","R","CHEMIN DE FER PROLONGEE","R DU CHEMIN DE FER PROLONGEE",NA,"Rachid"
"13","SEN","RENE CHAR","SEN RENE CHAR",NA,"Rachid"
"16","R","MIDI","R DU MIDI",NA,"Rachid"
"17","ALL","ETOILE","ALL DE L'ETOILE",NA,"Rachid"
"26","VLA","MARRONNIERS","VLA DES MARRONNIERS","privé","Rachid"
"29","1","MIGNARD","ALL MIGNARD","privé","Rachid"
"30","ALL","LETTRES","ALL DES LETTRES",NA,"Rachid"
"35.1","R","ROGER SALENGRO","R ROGER SALENGRO",NA,"Rachid"
"37","ALL","COURTS SILLONS","ALL DES COURTS SILLONS",NA,"Rachid"
"38","ALL","ALOUETTES","ALL DES ALOUETTES",NA,"Rachid"
"40","VLA","BRECHET","VLA DU BRECHET","privé","Rachid"
"41","R","UNION","R DE L'UNION",NA,"Rachid"
"42.1","CITE","SAULES","CITE DES SAULES",NA,"Rachid"
"43","PL","ECOLES","PL DES ECOLES",NA,"Rachid"
"45.1","R","NOEMIE","R NOEMIE",NA,"Rachid"
"49","R","MARTIN LUTHER KING","R MARTIN LUTHER KING","privé","Rachid"
"51","CH","MONTREUIL A CLAYE","CH DE MONTREUIL A CLAYE",NA,"Rachid"
"53","VLA","CARNOT","VLA CARNOT",NA,"Rachid"
"54","R","VARSOVIE","R DE VARSOVIE",NA,"Rachid"
"56","VLA","MADELEINE","VLA MADELEINE",NA,"Rachid"
"58","ALL","TILLEULS","ALL DES TILLEULS",NA,"Rachid"
"59","ALL","MARIA DERAIMES","ALL MARIA DERAIMES","privé","Rachid"
"62.1","R","BAUDIN","R BAUDIN",NA,"Rachid"
"63","ALL","COQUELICOTS","ALL DES COQUELICOTS",NA,"Rachid"
"71","15","PIERRE BOURDIEU","SEN PIERRE BOURDIEU","privé","Rachid"
"72","R","LOUIS LEON COLLIGNON","R LOUIS LEON COLLIGNON",NA,"Rachid"
"73","AV","SCIENCES","AV DES SCIENCES",NA,"Rachid"
"74","R","JEAN MONNET","R JEAN MONNET",NA,"Rachid"
"81","ALL","MARYSE BASTIE","ALL MARYSE BASTIE","privé","Rachid"
"82.1","ALL","BOILEAU","ALL BOILEAU",NA,"Rachid"
"83","IMP","RENE CLAIR","IMP RENE CLAIR",NA,"Rachid"
"84","ALL","ARTS","ALL DES ARTS",NA,"Rachid"
"85.1","ALL","CHENES","ALL DES CHENES",NA,"Rachid"
