"","X","Rue","Peri","rueCourte","rue"
"481",1181,"DOUILLOT RUE HENRI DOUILLOT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","DOUILLOT","RUE HENRI DOUILLOT"
"482",1184,"DOUVILLEZ RUE ROBERT DOUVILLEZ","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cdté pair et tout le céte impair","DOUVILLEZ","RUE ROBERT DOUVILLEZ"
"483",1187,"DROITS DE L'HOMME RUE DES DROITS DE L'HOMME","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair \J","DROITS","DE L'HOMME RUE DES DROITS DE L'HOMME"
"484",1188,"DROITS DE L'HOMME RUE DES DROITS DE L'HOMME","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le cété impair","DROITS","DE L'HOMME RUE DES DROITS DE L'HOMME"
"485",1190,"DU BELLAY ALLEE JOACHIM DU BELLAY —","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","DU","BELLAY ALLEE JOACHIM DU BELLAY —"
"486",1191,"DU BELLAY ALLEE JOACHIM DU BELLAY —","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","DU","BELLAY ALLEE JOACHIM DU BELLAY —"
"487",1193,"DUMESNIL AVENUE DUMESNIL","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","DUMESNIL","AVENUE DUMESNIL"
"488",1194,"DUMESNIL AVENUE DUMESNIL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Toutle cété pair et tout le coté impair","DUMESNIL","AVENUE DUMESNIL"
"490",1198,"DUMONT RUE RENE DUMONT","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","DUMONT","RUE RENE DUMONT"
"491",1200,"DUNANT RUE HENRI DUNANT C","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair \/","DUNANT","RUE HENRI DUNANT C"
"492",1201,"DUNANT RUE HENRI DUNANT C","Périmétre : Périmetre Maternelle Henri Sellier Tout le cdté pair et tout le cété impair","DUNANT","RUE HENRI DUNANT C"
