"","NOM_1_G","NOM","NATURE","usage","longueur","aire"
"353","RTE DE STAINS","STAINS","RTE","public",207,NA
"354","RTE DE VILLEMOMBLE","VILLEMOMBLE","RTE","public",1512,NA
"355","SEN BLERIOT","BLERIOT","SEN","public",52,NA
"356","SEN PIERRE BOURDIEU","PIERRE BOURDIEU","SEN","privé",104,NA
"357","SEN RENE CHAR","RENE CHAR","SEN","public",76,NA
"358","SQ DU 8 MAI 1945","8 MAI 1945","SQ","public",165,NA
"359","VLA CARNOT","CARNOT","VLA","public",142,NA
"360","VLA DES ABEILLES","ABEILLES","VLA","public",37,NA
"361","VLA DES CERISES","CERISES","VLA","privé",87,NA
"362","VLA DES MARRONNIERS","MARRONNIERS","VLA","privé",71,NA
"363","VLA DU BRECHET","BRECHET","VLA","privé",68,NA
"364","VLA DU BREUIL","BREUIL","VLA","privé",74,NA
"365","VLA FLEURY","FLEURY","VLA","public",162,NA
"366","VLA GABRIEL SEAILLES","GABRIEL SEAILLES","VLA","privé",101,NA
"367","VLA LAVIGNE","LAVIGNE","VLA","public",62,NA
"368","VLA MADELEINE","MADELEINE","VLA","public",115,NA
"369","VLA PARMENTIER","PARMENTIER","VLA","privé",115,NA
"370","VLA THOREL","THOREL","VLA","public",78,NA
"371","VOIE TRAM TRAIN","TRAM TRAIN","VOIE","public",1289,NA
"1100","PL EDITH PIAF"," EDITH PIAF","PL","public",NA,182
"710","PL VICTOR SCHŒLCHER"," VICTOR SCHŒLCHER","PL","public",NA,788
"910","PL DES ECOLES"," ECOLES","PL","public",NA,404
"1210","PL ANATOLE FRANCE"," ANATOLE FRANCE","PL","public",NA,400
"1310","PL CARNOT"," CARNOT","PL","public",NA,495
"1410","PL DES MARRONNIERS"," MARRONNIERS","PL","public",NA,731
