"","cle","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire"
"50","54",93010,930100000006053,"O",174,NA,NA,"RTE","DE VILLEMOMBLE",9670,"HABIT",21,1,0,"PD9301023B0003","INSEE 09/11/2023: Il y a un permis de démolir à cette adresse"
"51","55",93010,930100001122490,"O",10,NA,NA,"AV","MARX DORMOY",6175,"HABIT",23,85,2,"PC9301022B0069","MAIRIE 10/11/2023: L'ancien bâti est encore présent¶INSEE 03/08/2023: Le permis indique la réalisation d'un programme immobilier de 85 logements en action sociale (+ un local commercial). Merci de vérifier l'actualité et le positionnement de l'entité adressée."
"52","56",93010,930100001079815,"O",3,NA,"PC9301021B0094","R","BORDIER",740,"HABIT",21,1,3,"PC9301021B0094","MAIRIE 03/03/2023: travaux non commencés (pas d'affiche)¶INSEE 08/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'rénovation et extension d'une maison avec la création d'un logement R+1+C'.¶Dans ce cas"
"53","57",93010,930100001081980,"O",8,NA,NA,"R","DE L'EGALITE",3121,"HABIT",21,1,3,"PC9301021B0081","MAIRIE 10/11/2023: nouvelle maison. 6 mois de travaux à prévoir.¶INSEE 04/01/2023: Une EA existe déjà à cette adresse. Faut-il modifier le nombre de logements de l'EA existante"
"54","58",93010,930100000908008,"O",5,NA,NA,"R","DU POTAGER",7240,"HABIT",23,13,3,"PC9301019B0047","MAIRIE 10/11/2023: idem (2 étages)¶MAIRIE 27/03/2023: idem¶MAIRIE 09/11/2022: travaux en cours¶MAIRIE 06/04/2022: détruite¶MAIRIE 05/11/2021: idem¶MAIRIE 12/03/2021:  PC affiché pas de travaux en cours¶INSEE 05/11/2020: Suite PC 2EFLUX 20-21 création EA sur existant - D'après descriptif des travaux : DEMOLITION D'1 LOGEMENT ET CONSTRUCTION IMMEUBLE DE 13 LOGEMENTS - A vérifier et si destruction il faudra périmer l'ancienne EA et garder l'EA avec le permis."
"55","59",93010,930100000718118,"O",1,NA,NA,"R","DE VERSAILLES",9625,"HABIT",23,20,2,"PC9301016B0069","MAIRIE 10/11/2023: les travaux semblent abandonnés.¶MAIRIE 11/04/2023: idem¶MAIRIE 09/12/2022: idem¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021:  ¶INSEE 23/02/2018:  Vérifier l'actualité et le positionnement de l'EA¶MAIRIE 21/06/2018:  Travaux pas encore commencés. L'emplacement est correcte sur la carte"
"56","6",93010,930100000002850,"O",79,NA,NA,"R","LOUIS AUGUSTE BLANQUI",5170,"HABIT",21,1,3,NA,"MAIRIE 24/10/2023: idem¶MAIRIE 11/04/2023: idem¶MAIRIE 01/12/2022: Travaux abandonnés Café petit Blanqui¶INSEE 12/07/2022: Suite Expertise Légale : EA actu 3.¶MAIRIE 07/07/2022: idem¶MAIRIE 22/06/2021:  pas de PC affiché pas de travaux commencés semble abandonné¶INSEE 19/02/2020:  suite RP 2020 FN"
"57","60",93010,930100001063689,"O",26,NA,NA,"R","DU BON AIR",720,"HABIT",21,1,3,"PC9301022B0004","MAIRIE 10/11/2023: vu le gardien du site. Il y a bien un logement habitable"
"58","61",93010,930100001122566,"O",54,NA,NA,"R","DE MEAUX",6180,"HABIT",22,2,3,"PC9301023B0010","MAIRIE 10/11/2023: travaux commencés"
"59","62",93010,930100000908003,"O",15,NA,NA,"R","JEAN JAURES",4740,"HABIT",23,4,3,"PC9301019B0055","MAIRIE 14/11/2023: verif au niveau urbanisme. l'ouverture de chantier a été faite juste 3 ans après (fev 2023). Mais sur place"
"60","63",93010,930100001142631,"O",6,"BIS","6BIS-10 - BAT A","AV","JULES FERRY",4770,"HABIT",23,25,3,"PC9301021B0011","MAIRIE 30/11/2023: demande de dégroupement bat A 25 / bat B 33 /  bat C 25¶MAIRIE 04/04/2023: démolition achevée¶INSEE 09/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée. ¶De plus"
"61","64",93010,930100001142632,"O",6,"BIS","6BIS-10 - BAT B","AV","JULES FERRY",4770,"HABIT",23,33,3,"PC9301021B0011","MAIRIE 30/11/2023: demande de dégroupement bat A 25 / bat B 33 /  bat C 25¶MAIRIE 04/04/2023: démolition achevée¶INSEE 09/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée. ¶De plus"
"62","65",93010,930100001142633,"O",6,"BIS","6BIS-10 - BAT C","AV","JULES FERRY",4770,"HABIT",23,25,3,"PC9301021B0011","MAIRIE 30/11/2023: demande de dégroupement bat A 25 / bat B 33 /  bat C 25¶MAIRIE 04/04/2023: démolition achevée¶INSEE 09/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée. ¶De plus"
