"","Rue","Peri"
"329","LION RUE DU LION |","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair |"
"335","LOUISE ALLEE LOUISE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"341","LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"343","LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"352","LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"353","LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair"
"355","LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 12 a 38 et cdté impair sans les n° \/"
"359","LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Camille Claudel 6té pair allant des n° 4 a 10 et cdté impair sans les n°"
"361","LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Camille Claudel été pair allant des n° 40 a 56 et cété impair sans les n° /"
"362","LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Camille Claudel 6té pair allant des n° 40 2 56 et cété impair sans les n°"
"363","LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand, Cété pair allant des n° 58 a 998 et cété impair sans les n°"
"364","LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 58 a 998 et cdté impair sans les n°"
"366","MADELEINE VILLA MADELEINE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"367","MADELEINE VILLA MADELEINE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"369","MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"370","MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"372","MARAICHERS RUE DES MARAICHERS","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"373","MARAICHERS RUE DES MARAICHERS","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cote impair"
"376","MARE ALA VEUVE CHEMIN DE LAMARE ALA VEUVE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"378","MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"379","MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"381","MARGUERITE AVENUE MARGUERITE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair"
"382","MARGUERITE AVENUE MARGUERITE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair"
"384","MARIE ALLEE MARIE LAURENCIN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"387","MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"388","MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair"
"390","MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair"
"391","MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"397","MARTIN RUE FRANCOIS MARTIN","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"404","MASSON RUE EUGENE MASSON","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"405","MASSON RUE EUGENE MASSON","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"407","MAUPASSANT RUE GUY DE MAUPASSANT","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cdté impair"
"408","MAUPASSANT RUE GUY DE MAUPASSANT","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdété impair"
"410","MEAUX | RUE DE MEAUX","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"411","MEAUX | RUE DE MEAUX","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"414","MENDES FRANCE PLACE MENDES FRANCE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"418","MERLAN CHEMIN DE MERLAN","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"419","MERLAN CHEMIN DE MERLAN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"421","MESARMES AVENUE DES MESARMES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair . |"
"422","MESARMES AVENUE DES MESARMES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair al"
"424","METZ AVENUE DE METZ","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"427","MICHELET RUE MICHELET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair J"
"428","MICHELET RUE MICHELET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cdté pair et tout le cété impair"
"430","MICHELET PASSAGE MICHELET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cdté pair et tout le cdté impair"
"431","MICHELET PASSAGE MICHELET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair sans les n° et tout le cété impair"
"433","MIDI : RUE DU MIDI","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"434","MIDI : RUE DU MIDI","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"436","MIGNARD ALLEE NICOLAS MIGNARD","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cote impair"
"437","MIGNARD ALLEE NICOLAS MIGNARD","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"439","MILLET ALLEE JEAN-FRANCOIS MILLET |","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair"
"440","MILLET ALLEE JEAN-FRANCOIS MILLET |","Périmétre : Périmetre E!6mentaire R.Salengro J.Béthinger Tout le cdté pair et tout le cdté impair"
"443","MOLERET RUE DU MOLERET","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"445","MOLIERE ALLEE MOLIERE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"446","MOLIERE ALLEE MOLIERE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair"
"448","MONNET RUE JEAN MONNET","Périmétre : Périmeétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"457","MONOD RUE THEODORE MONOD","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"462","MOULIN ALLEE DU MOULIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
