"NOM_1_G","NOM","NATURE","usage","longueur"
"R DE LA SOLIDARITE","SOLIDARITE","R","public",363
"IMP DE LA SOLIDARITE","SOLIDARITE","IMP","privé",29
"ALL DES SORBIERS","SORBIERS","ALL","privé",152
"RTE DE STAINS","STAINS","RTE","public",207
"ALL SURCOUF","SURCOUF","ALL","public",54
"R SUZANNE BLIN","SUZANNE BLIN","R","public",74
"AV SUZANNE BUISSON","SUZANNE BUISSON","AV","public",287
"ALL DES SYCOMORES","SYCOMORES","ALL","privé",159
"ALL DES SYLPHES","SYLPHES","ALL","public",172
"R DE LA TERRE SAINT-BLAISE","TERRE SAINT-BLAISE","R","public",357
"R THEODORE MONOD","THEODORE MONOD","R","public",128
"ALL THERESE","THERESE","ALL","public",345
"VLA THOREL","THOREL","VLA","public",78
"ALL DES TILLEULS","TILLEULS","ALL","public",202
"VOIE TRAM TRAIN","TRAM TRAIN","VOIE","public",1289
"R DE TREMEUGE","TREMEUGE","R","public",273
"R TRINQUAMELLE","TRINQUAMELLE","R","privé",192
"ALL DES TULIPES","TULIPES","ALL","privé",61
"R DE L'UNION","UNION","R","public",175
"R DE VARSOVIE","VARSOVIE","R","public",404
"AV DE VERDUN","VERDUN","AV","public",615
"R DU VERGER","VERGER","R","public",187
"RPT DU VERGER","VERGER","RPT","public",129
"R DE VERSAILLES","VERSAILLES","R","public",321
"ALL VICTOR HUGO","VICTOR HUGO","ALL","privé",33
"R DU VIEUX CHATEAU","VIEUX CHATEAU","R","public",108
"R DU VIEUX MOULIN","VIEUX MOULIN","R","public",311
"ALL DES VIGNES","VIGNES","ALL","public",151
"ALL DE LA VILLA JEANNETTE","VILLA JEANNETTE","ALL","public",162
"AV DE LA VILLAGEOISE","VILLAGEOISE","AV","public",425
"AV DE LA VILLEGIATURE","VILLEGIATURE","AV","public",352
"RTE DE VILLEMOMBLE","VILLEMOMBLE","RTE","public",1512
"IMP DES VIOLETTES","VIOLETTES","IMP","privé",41
"ALL VOLTAIRE","VOLTAIRE","ALL","public",59
"ALL WATTEAU","WATTEAU","ALL","privé",45
"R YVONNE","YVONNE","R","public",258
