"211","R","5","NA","MOLERET","R DU MOLERET","NA"
"114","ALL","5","NA","MOLIERE","ALL MOLIERE","NA"
"209","13","5","THEODORE MONOD","MONOD","13","public"
"169","ALL","5","NA","MONTPLAISIR","ALL MONTPLAISIR","NA"
"51","CH","5","NA","MONTREUIL","CH DE MONTREUIL A CLAYE","NA"
"241","ALL","5","NA","MOULIN","ALL DU MOULIN","NA"
"160","R","5","NA","MOULY","R HENRI MOULY","privé"
"57","ALL","5","NA","MOZART","ALL MOZART","NA"
"306","ALL","5","NA","MUGUET","ALL DU MUGUET","NA"
"369","R","NA","NA","NADIA MURAD","R NADIA MURAD","NA"
"251","AV","5","NA","NANCY","AV DE NANCY","NA"
"274","R","5","NA","NEEL","R ALEXANDRA DAVID NEEL","privé"
"136","ALL","5","NA","NERUDA","ALL PABLO NERUDA","NA"
"88","PL","5","NA","NEUBURGER","PL NICOLE NEUBURGER","NA"
"15","R","5","NA","NEUVE","R NEUVE","privé"
"45","R","5","NA","NOEMIE","R NOEMIE","NA"
,"NATURE","IMPORTANCE","NOMnumero","NOM","NOM_1_G","usage"
"5","R","5","NA","ODETTE PAIN","R ODETTE PAIN","NA"
"31","ALL","5","NA","ORCHIDEES","ALL DES ORCHIDEES","privé"
"317","ALL","5","NA","ORME","ALL DE L'ORME","NA"
"309","R","4","NA","ORMES","R DES 5 ORMES","NA"
"206","ALL","5","NA","PAIX","ALL DE LA PAIX","NA"
"344","R","6","NA","PANNEQUIN","R ROGER PANNEQUIN","NA"
"176","MAIL","6","NA","PANTAGRUEL","MAIL PANTAGRUEL","NA"
"293","R","5","NA","PANURGE","R DE PANURGE","NA"
"48","ALL","5","NA","PAQUERETTES","ALL DES PAQUERETTES","privé"
"90","R","2","NA","PARIS","R DE PARIS","NA"
"255","AV","5","NA","PARISIENNE","AV DE LA PARISIENNE","NA"
"93","VLA","5","NA","PARMENTIER","VLA PARMENTIER","privé"
"10","AV","4","NA","PASTEUR","AV PASTEUR","NA"
"287","R","5","NA","PAUL ELUARD","R PAUL ELUARD","privé"
"148","ALL","5","NA","PENSEES","ALL DES PENSEES","privé"
"303","R","5","NA","PEUPLIERS","R DES PEUPLIERS","NA"
"117","R","5","NA","PHILOSOPHIE","R DE LA PHILOSOPHIE","NA"
"315","R","5","NA","PIERRE RONSARD","R PIERRE DE RONSARD","NA"
"162","ALL","5","NA","PINSONS","ALL DES PINSONS","NA"
"266","R","5","NA","PLAISANCE","R DE PLAISANCE","NA"
"216","AV","5","NA","PLATANES","AV DES PLATANES","NA"
"242","RPE","4","NA","PONT","RPE DU PONT","NA"
"258","CH","4","NA","PONT","CH DU PONT","NA"
"108","ALL","5","NA","POQUE","ALL POQUE","privé"
"192","R","5","NA","POTAGER","R DU POTAGER","privé"
"1","ALL","5","NA","POTTIER","ALL POTTIER","NA"
"212","IMP","5","NA","POTTIER","IMP FERNAND POTTIER","NA"
"289","R","5","NA","PRESSENSE","R DE PRESSENSE","NA"
"256","ALL","5","NA","PRIMEVERES","ALL DES PRIMEVERES","privé"
"66","R","4","NA","PROFESSEUR VAILLANT","R DU PROFESSEUR VAILLANT","NA"
"267","R","5","NA","PROGRES","R DU PROGRES","NA"
"168","R","5","NA","RABELAIS","R RABELAIS","privé"
"172","ALL","5","NA","RACINE","ALL RACINE","NA"
"36","R","5","NA","RAOUL","R RAOUL","NA"
"199","5","5","ALL RAPHAEL","RAPHAEL","5","privé"
"318","ALL","5","NA","RASPAIL","ALL RASPAIL","NA"
"201","R","5","NA","RENAUD","R PAUL RENAUD","NA"
"145","ALL","4","NA","RENDEZ","ALL DU RENDEZ VOUS","NA"
"13","SEN","6","NA","RENE CHAR","SEN RENE CHAR","NA"
"83","IMP","5","NA","RENE CLAIR","IMP RENE CLAIR","NA"
"8","ALL","5","NA","RENONCULES","ALL DES RENONCULES","privé"
"96","CRS","5","NA","REPUBLIQUE","CRS DE LA REPUBLIQUE","NA"
"142","PL","4","NA","REPUBLIQUE","PL DE LA REPUBLIQUE","NA"
