fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"91",ALL,"5",,PAUL LAFARGUE,ALL PAUL LAFARGUE,privé,,,,,,,,,,,,,
"92",R,"2",,DE PARIS,R DE PARIS,,,,,,,,,,,,,,
"93",R,"5",,BERANGER,R BERANGER,,,,,,,,,,,,,,
"94",ALL,"5",,DE LA FAUVETTE,ALL DE LA FAUVETTE,privé,,,,,,,,,,,,,
"95",VLA,"5",,PARMENTIER,VLA PARMENTIER,privé,,,,,,,,,,,,,
"96",PL,"5",,DES FLEURS,PL DES FLEURS,,,,,,,,,,,,,,
"97",R,"5",,DE LA TERRE SAINT-BLAISE,R DE LA TERRE SAINT-BLAISE,,,,,,,,,,,,,,
"98",Sans,"6",,sans nom,Sans nom,privé,,,,,,,,,,,,,
"100",ALL,"5",,THERESE,ALL THERESE,,,,,,,,,,,,,,
"101",ALL,"5",,LEON,ALL LEON,,,,,,,,,,,,,,
"102",ALL,"5",,DE LA VILLA JEANNETTE,ALL DE LA VILLA JEANNETTE,,,,,,,,,,,,,,
"103",R,"5",,DES FRANCS AUBIERS,R DES FRANCS AUBIERS,public,,,,,,,,,,,,,
"104","2","5",ALL EUGENE DELACROIX,"2","2",privé,,,,,,,,,,,,,
"105",ALL,"5",,DES BOULEAUX,ALL DES BOULEAUX,privé,,,,,,,,,,,,,
"106",RTE,"3",,DE STAINS,RTE DE STAINS,,,,,,,,,,,,,,
"111",ALL,"5",,POQUE,ALL POQUE,privé,,,,,,,,,,,,,
"112",ALL,"5",,ALEXANDRE MARTHE,ALL ALEXANDRE MARTHE,privé,,,,,,,,,,,,,
"115","11","5",ALL CONDORCET,"11","11",privé,,,,,,,,,,,,,
"116",VLA,"5",,DES ABEILLES,VLA DES ABEILLES,,,,,,,,,,,,,,
"117",ALL,"5",,MOLIERE,ALL MOLIERE,,,,,,,,,,,,,,
"118",R,"5",,BERNARD DE JUSSIEU,R BERNARD DE JUSSIEU,,,,,,,,,,,,,,
"119",ALL,"5",,MARCEL SEMBAT,ALL MARCEL SEMBAT,,,,,,,,,,,,,,
"120",R,"5",,DE LA PHILOSOPHIE,R DE LA PHILOSOPHIE,,,,,,,,,,,,,,
