Code;SIRET;Raison Sociale;Nom;Date immatriculation;Date déb;Date fin;Date de radiation;Num voie;BTQ;Voie;Complément;CP;Ville;INSEE;Pays;NACE;Lat;Lon;Tel;Mail;Montant Prév;Montant Déc;Montant Fact;Montant Sim;Date échange;Nb Supports
8014;82988745401379;TATI MAG;GIFI;;01/01/2020;;;96;;AVENUE GALLIENI;2 RUE AUGUSTE POLISSARD;93140;BONDY;93010;FRANCE;4642Z - Commerce de gros (commerce interentreprises) d'habillement et de chaussures;48,90554300;2,47924100;;;875,47;875,47;875,47;0,00;21/09/2022;15
10344;34997357800124;LUMINANCE INTERNATIONAL;LUMINANCE INTERNATIONAL;;01/11/2019;;;81;B;RUE DE BELLEVUE;;92100;BOULOGNE-BILLANCOURT;92012;FRANCE;7311Z - Activités des agences de publicité;48,83467500;2,23103200;;;5 980,81;5 980,81;5 980,81;0,00;21/09/2022;1
14581;78493968805444;PICARD SURGELES;PICARD;;20/12/2002;;;;;RUE ROGER SALENGRO;PLACE DE L'EGLISE;93140;BONDY;93010;FRANCE;4711A - Commerce de détail de produits surgelés;48,90280174;2,47992192;;;0,00;946,84;946,84;0,00;21/09/2022;0
14675;88362887702578;PEGASE;LA HALLE;;15/07/2020;;;60;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90520100;2,47714900;;;0,00;0,00;0,00;0,00;;0
14792;33026769106648;CHAUSSEA SAS;CHAUSSEA;;15/07/2020;;;164;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4772A - Commerce de détail de la chaussure;48,90653100;2,48606800;;;3 288,36;1 765,22;1 765,22;0,00;21/09/2022;12
15291;45157435400010;EOL COMMERCE;EOL COMMERCE;;05/01/2004;;;10;;QUAI DE BERCY;;94220;CHARENTON-LE-PONT;94018;FRANCE;6831Z - Agences immobilières;48,82313900;2,39651200;;;225,88;225,88;225,88;0,00;21/09/2022;1
15304;88810875000017;EV'ET;EV'ET;;01/09/2020;;;108;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610CQ;48,90562207;2,48148415;;;1 415,11;1 415,11;1 415,11;0,00;21/09/2022;12
15340;892299561;BONDY TERRASSES DU CANAL;POLY CITES;;;;;1;;AVENUE PASTEUR;;93140;BONDY;93010;FRANCE; - ;48,90333894;2,48331237;;;2 164,89;2 164,89;2 164,89;0,00;21/09/2022;18
15387;85230707300019;SNEAK-WEAR;SNEAK-WEAR;;28/05/2019;;;150;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90625398;2,48484839;;;999,18;999,18;999,18;0,00;21/09/2022;2
15404;51529385000027;WANTY;WANTY;;02/01/2019;;;4;;ALLEE DU DAIM;E34;93420;VILLEPINTE;93078;FRANCE;4312A - Travaux de terrassement courants et travaux préparatoires;48,96197700;2,55546600;;;0,00;0,00;0,00;0,00;;2
15418;94555054900592;EQIOM BETONS;EQIOM BETONS;;31/03/2004;;;;;CANAL DE L OURCQ;CHEMIN DE HALAGE;93140;BONDY;93010;FRANCE;2363Z - Fabrication de béton prêt à l'emploi;48,90658887;2,47529266;;;1 869,89;1 869,89;1 869,89;0,00;21/09/2022;7
19223;41459903502150;ALDI MARCHE DAMMARTIN;ALDI MARCHE;;15/03/2021;;;107;;AVENUE GALLIENI;107-111;93140;BONDY;93010;FRANCE;4711D - Supermarchés;48,90611700;2,48048200;;;976,98;976,98;0,00;0,00;08/10/2022;6
19250;79823301105285;BASIC FIT II;BASIC FIT;;07/06/2021;;;164;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;9313Z - Activités des centres de culture physique;48,90643492;2,48609080;;;0,00;0,00;0,00;0,00;;3
19270;87988435100013;CREATIV' MOBILIER;CREATIV' MOBILIER;;01/01/2020;;;138;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90617299;2,48402702;;;1 187,91;1 187,91;0,00;0,00;08/10/2022;3
19290;83822166100013;CENTRE DENTAIRE BONDY HOTEL DE VILLE;CENTRE DENTAIRE BONDY HOTEL DE VILLE;;01/02/2018;;;9;;AVENUE HENRI BARBUSSE;MME ISRAEL MICHELE;93140;BONDY;93010;FRANCE;8623Z - Pratique dentaire;48,90230421;2,48296988;;;0,00;0,00;0,00;0,00;;17
21341;90746668400012;CABRIBONDY;BRICORAMA;;23/11/2021;;;175;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4752B - Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus);48,90672600;2,48565600;;;15 219,35;15 219,35;15 219,35;0,00;21/09/2022;39
