"","NATURE","NOM_1_G","Longueur","longueurSecteur","creche","comparaison"
"55","Route à 1 chaussée","VLA CARNOT",142,142,"Cabane des petits","dans le secteur"
"56","Route à 1 chaussée","R DE VARSOVIE",404,404,"Cabane des petits","dans le secteur"
"58","Route à 1 chaussée","VLA MADELEINE",115,115,"Cabane des petits","dans le secteur"
"60","Route à 1 chaussée","ALL DES TILLEULS",202,202,"Cabane des petits","dans le secteur"
"61","Route à 1 chaussée","ALL MARIA DERAIMES",113,113,"Cabane des petits","dans le secteur"
"64","Route à 1 chaussée","R BAUDIN",658,658,"Cabane des petits","dans le secteur"
"65","Route à 1 chaussée","ALL DES COQUELICOTS",161,161,"Cabane des petits","dans le secteur"
"68.1","Route à 1 chaussée","R DU PROFESSEUR VAILLANT",258,1,"Cabane des petits","à vérifier"
"74","Sentier","15",104,104,"Cabane des petits","dans le secteur"
"75","Route à 1 chaussée","R LOUIS LEON COLLIGNON",200,200,"Cabane des petits","dans le secteur"
"76","Route à 1 chaussée","AV DES SCIENCES",418,418,"Cabane des petits","dans le secteur"
"77","Sentier","R JEAN MONNET",471,471,"Cabane des petits","dans le secteur"
"83","Route à 1 chaussée","CH DE LA MARE A LA VEUVE",310,310,"Cabane des petits","dans le secteur"
"85","Route à 1 chaussée","ALL MARYSE BASTIE",104,104,"Cabane des petits","dans le secteur"
"86","Route à 1 chaussée","ALL BOILEAU",85,85,"Cabane des petits","dans le secteur"
"87","Route à 1 chaussée","IMP RENE CLAIR",44,44,"Cabane des petits","dans le secteur"
"88","Route à 1 chaussée","ALL DES ARTS",129,129,"Cabane des petits","dans le secteur"
"89","Route à 1 chaussée","ALL DES CHENES",125,125,"Cabane des petits","dans le secteur"
"90","Route à 1 chaussée","ALL GABRIELLE",242,242,"Cabane des petits","dans le secteur"
"91.1","Route à 1 chaussée","R DE TREMEUGE",273,3,"Cabane des petits","à vérifier"
"93","Route à 1 chaussée","ALL PAUL LAFARGUE",208,208,"Cabane des petits","dans le secteur"
"96","Route à 1 chaussée","ALL DE LA FAUVETTE",176,176,"Cabane des petits","dans le secteur"
