ID,Couche,Utilisateur,Observation,adresse,detail
68579,Bâtis à protéger (éléments et ensembles),BONDY,"36 chemin de fer prolongée 
 à protéger",36 chemin de fer prolongée , à protéger
68578,Bâtis à protéger (éléments et ensembles),BONDY,"
Chemin de fer prolongé 
 à protéger",23 chemin de fer prolongée , à protéger
68577,Bâtis à protéger (éléments et ensembles),BONDY,21bis Chemin de fer Prolongé,21bis Chemin de fer Prolongé,NA
68414,Bâtis à protéger (éléments et ensembles),BONDY,"11 avenue de Nancy 
 à protéger",11 avenue de Nancy , à protéger
68413,Bâtis à protéger (éléments et ensembles),BONDY,"5 et 5 bis avenue de Nancy
 à retirer",5 et 5 bis avenue de Nancy, à retirer
68412,Bâtis à protéger (éléments et ensembles),BONDY,"5 et 5 bis avenue de Nancy 
 à retirer",5 et 5 bis avenue de Nancy , à retirer
68411,Bâtis à protéger (éléments et ensembles),BONDY,"15 avenue de Metz 
 protéger",15 avenue de Metz , protéger
68410,Bâtis à protéger (éléments et ensembles),BONDY,"13 avenue de Metz 
 à protéger",13 avenue de Metz , à protéger
68409,Bâtis à protéger (éléments et ensembles),BONDY,"43 avenue de l'Est 
 à protéger",43 avenue de l'Est , à protéger
68408,Bâtis à protéger (éléments et ensembles),BONDY,"
avenue de l'Est 
 à protéger",22 avenue de l'Est , à protéger
68407,Bâtis à protéger (éléments et ensembles),BONDY,"19 avenue de l'Est
 à protéger",19 avenue de l'Est, à protéger
68406,Bâtis à protéger (éléments et ensembles),BONDY,"16 avenue de l'Est 
 à protéger",16 avenue de l'Est , à protéger
68405,Bâtis à protéger (éléments et ensembles),BONDY,"9 avenue de l'Est
 à protéger",9 avenue de l'Est, à protéger
68403,Bâtis à protéger (éléments et ensembles),BONDY,"4 avenue de Belfort 
 à protéger",4 avenue de Belfort , à protéger
68401,Bâtis à protéger (éléments et ensembles),BONDY,"14 bis allée des Lettres 
 à protéger",14 bis allée des Lettres , à protéger
68400,Bâtis à protéger (éléments et ensembles),BONDY,"13 allée des Lettres 
 à protéger",13 allée des Lettres , à protéger
68399,Bâtis à protéger (éléments et ensembles),BONDY,"11 allée des Lettres 
 à protéger",11 allée des Lettres , à protéger
