ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
165,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36110
166,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,18800
167,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28150
168,Non,,,,,,,,,,,,,,,,,,,,,,77170
169,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,45490
170,Non,,,,,,,,,,,,,,,,,,,,,,41290
171,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41800
172,Non,,,,,,,,,,,,,,,,,,,,,,28300
173,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36320
174,Oui,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,La culture n'était pas semée lors du gel,,,87190
175,Oui,Non,,,Non,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,36340
176,Non,,,,,,,,,,,,,,,,,,,,,,18310
177,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36120
178,Oui,Non,,,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,18390
179,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,18140
180,Non,,,,,,,,,,,,,,,,,,,,,,41240
181,Non,,,,,,,,,,,,,,,,,,,,,,18290
182,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,18340
183,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36120
184,Non,,,,,,,,,,,,,,,,,,,,,,91600
185,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45140
186,Non,,,,,,,,,,,,,,,,,,,,,,28160
187,Non,,,,,,,,,,,,,,,,,,,,,,18410
