organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
PRIVÉ,093-S-LS-201804-0051,211,211,AVENUE,GALLIENI,GALLIENI,L,1,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97,48.907676,2.491885,211 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00211,211,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
PRIVÉ,093-S-LS-201809-0200,209,211,AVENUE,GALLIENI,GALLIENI,L,1,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97,48.907676,2.491885,211 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00211,211,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2017/2011-1191/158,132,132,AVENUE,GALLIENI,GALLIENI,L,4,bondy,93140,132 Avenue Galliéni 93140 Bondy,0.97,48.906147,2.483308,132 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00132,132,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2018/2011-1191/020,144,144,AVENUE,GALLIENI,GALLIENI,L,5,bondy,93140,144 Avenue Galliéni 93140 Bondy,0.97,48.906158,2.484576,144 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00144,144,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
CDC HABITAT SOCIAL,NC,211,211,AVENUE,GALLIENI,GALLIENI,L,7,bondy,93140,211 Avenue Galliéni 93140 Bondy,0.97,48.907676,2.491885,211 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00211,211,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2017/2011-1191/157,132,132,AVENUE,GALLIENI,GALLIENI,L,28,bondy,93140,132 Avenue Galliéni 93140 Bondy,0.97,48.906147,2.483308,132 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00132,132,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2018/2011-1191/019,144,144,AVENUE,GALLIENI,GALLIENI,L,41,bondy,93140,144 Avenue Galliéni 93140 Bondy,0.97,48.906158,2.484576,144 Avenue Galliéni 93140 Bondy,0.97,housenumber,93010_4120_00144,144,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2000/85-1231/008,84,84,RUE,GALLIÉNI,GALLIÉNI,L,62,bondy,93140,84 Avenue Galliéni 93140 Bondy,0.77,48.905543,2.479241,84 Avenue Galliéni 93140 Bondy,0.77,housenumber,93010_4120_00084,84,Avenue Galliéni,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,NC,2-16,10,RUE,GASTON DEFERRE,GASTON DEFERRE,L,92,bondy,93140,16 Rue Gaston Defferre 93140 Bondy,0.89,48.899377,2.485936,10 Rue Gaston Defferre 93140 Bondy,0.94,housenumber,93010_4133_00010,10,Rue Gaston Defferre,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2011/2002-844/117,18,18,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,3,bondy,93140,18 Rue Gaston Defferre 93140 Bondy,0.97,48.901116,2.486093,18 Rue Gaston Defferre 93140 Bondy,0.97,housenumber,93010_4133_00018,18,Rue Gaston Defferre,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
