"","NOM","NATURE","NOM2","raccourci"
"235","R EUGENE VARLIN","R","EUGENE VARLIN","NC-TSB"
"236","R FER A CHEVAL","R","FER A CHEVAL","NC-TSB"
"237","R FLORALIES","R","FLORALIES","NC-TSB"
"238","R FONTAINE","R","FONTAINE","Merisiers"
"239","R FRANCOIS COLLET","R","FRANCOIS COLLET","MVeuve Saule"
"240","R FRANCOIS MARTIN","R","FRANCOIS MARTIN","Merisiers NC-TSB"
"241","R FRANCOIS VILLON","R","FRANCOIS VILLON","Merisiers"
"242","R FRANCOISE HERITIER","R","FRANCOISE HERITIER","Merisiers"
"243","R FRANCS AUBIERS","R","FRANCS AUBIERS","NC-TSB"
"244","R FRATERNITE","R","FRATERNITE","Mainguy"
"245","R FREMIN","R","FREMIN","Mainguy"
"246","R FRERES DARTY","R","FRERES DARTY","Mainguy"
"247","R GARGANTUA","R","GARGANTUA","NC-TSB"
"248","R GASTON DEFFERRE","R","GASTON DEFFERRE","Saule"
"249","R GATINE","R","GATINE","Mainguy NC-TSB"
"250","R GAZELLES","R","GAZELLES","Saule"
"251","R GEORGES ELIE","R","GEORGES ELIE","Saule"
"252","R GEORGES GRAFF","R","GEORGES GRAFF","MVeuve Saule"
"253","R GERMAINE TILLION","R","GERMAINE TILLION","NC-TSB"
"254","R GISELE HALIMI","R","GISELE HALIMI","NC-TSB"
"255","R GUILLAUME APOLLINAIRE","R","GUILLAUME APOLLINAIRE","Saule"
"256","R GUY DE MAUPASSANT","R","GUY DE MAUPASSANT","Saule"
"257","R HELENE BOUCHER","R","HELENE BOUCHER","Mainguy"
"258","R HENRI ALPY","R","HENRI ALPY","Saule"
"259","R HENRI DOUILLOT","R","HENRI DOUILLOT","Saule"
"260","R HENRI DUNANT","R","HENRI DUNANT","Saule"
"261","R HENRI MOULY","R","HENRI MOULY","Merisiers NC-TSB"
"262","R HENRI ROL TANGUY","R","HENRI ROL TANGUY","NC-TSB"
"263","R HENRY ESPAULLARD","R","HENRY ESPAULLARD","Mainguy"
"264","R JACQUELINE AURIOL","R","JACQUELINE AURIOL","Saule"
"265","R JEAN-MARIE TJIBAOU","R","JEAN-MARIE TJIBAOU","Merisiers"
"266","R JEAN JACQUES ROUSSEAU","R","JEAN JACQUES ROUSSEAU","NC-TSB"
"267","R JEAN JAURES","R","JEAN JAURES","Mainguy"
"268","R JEAN MONNET","R","JEAN MONNET","MVeuve"
"269","R JEAN PIERRE LEVY","R","JEAN PIERRE LEVY","NC-TSB"
"270","R JOE CARMAN","R","JOE CARMAN","MVeuve"
"271","R JULES AUFFRET","R","JULES AUFFRET","Saule"
"272","R JULES GUESDE","R","JULES GUESDE","Mainguy Saule"
"273","R JULES LECOMTE","R","JULES LECOMTE","NC-TSB"
"274","R JULES LELONG","R","JULES LELONG","Mainguy"
"275","R JULIE VICTOIRE DAUBIE","R","JULIE VICTOIRE DAUBIE","Mainguy"
"276","R LAUG","R","LAUG","Merisiers"
"277","R LEVANT","R","LEVANT","Saule"
"278","R LIBERTE","R","LIBERTE","MVeuve"
"279","R LIMITES","R","LIMITES","MVeuve"
"280","R LION","R","LION","MVeuve Saule"
