"","X","Rue","Peri","rueCourte","rue","ecoles"
"232",575,"-POLLISSARD RUE AUGUSTE POLLISSARD .","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le c6té pair et tout le cdté impair }","-POLLISSARD","RUE AUGUSTE POLLISSARD ."," Guillaume Apollinaire Tout le c6té pair et tout le cdté impair }"
"233",577,"PONT RAMPE DU PONT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le coté impair","PONT","RAMPE DU PONT"," Pierre Curie Tout le cété pair et tout le coté impair"
"234",580,"POQUE ALLEE POQUE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","POQUE","ALLEE POQUE","Henri Sellier Tout le cété pair et tout le cété impair"
"235",581,"POQUE ALLEE POQUE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","POQUE","ALLEE POQUE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"236",587,"POTTIER ALLEE POTTIER","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdété impair","POTTIER","ALLEE POTTIER"," Léo Lagrange Tout le cété pair et tout le cdété impair"
"237",589,"POTTIER IMPASSE FERNAND POTIER","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair","POTTIER","IMPASSE FERNAND POTIER","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"238",591,"PRESSENSE RUE DE PRESSENSE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout.le cété impair","PRESSENSE","RUE DE PRESSENSE"," Léo Lagrange Tout le cété pair et tout.le cété impair"
"239",592,"PRESSENSE RUE DE PRESSENSE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cote impair","PRESSENSE","RUE DE PRESSENSE","Léo Lagrange Tout le cété pair et tout le cote impair"
"240",594,"PRIMEVERES ALLEE DES PRIMEVERES","Périmétre : Périmetre Maternelle Camille Claudel Tout le cdté pair et tout le cété impair","PRIMEVERES","ALLEE DES PRIMEVERES","Camille Claudel Tout le cdté pair et tout le cété impair"
"241",596,"PRIMEVERES ALLEE DES PRIMEVERES","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le cdté impair","PRIMEVERES","ALLEE DES PRIMEVERES"," Camille Claudel Tout le cété pair et tout le cdté impair"
"242",598,"PROFESSEUR VAILLAN RUE DU PROFESSEUR VAILLANT","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","PROFESSEUR","VAILLAN RUE DU PROFESSEUR VAILLANT"," Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"243",599,"PROFESSEUR VAILLAN RUE DU PROFESSEUR VAILLANT","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","PROFESSEUR","VAILLAN RUE DU PROFESSEUR VAILLANT","Henri Sellier Tout le cété pair et tout le cété impair"
"244",601,"PROGRES RUE DU PROGRES","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair","PROGRES","RUE DU PROGRES"," Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"245",602,"PROGRES RUE DU PROGRES","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","PROGRES","RUE DU PROGRES","Henri Sellier Tout le cété pair et tout le cété impair"
"246",605,"QUATORZE JUILLET AVENUE DU QUATORZE JUILLET","Périmétre : Périmetre Elémentaire Olympe de Gouges Cété pair sans les n° et cdté impair allant des n° 45 a 999","QUATORZE","JUILLET AVENUE DU QUATORZE JUILLET"," Olympe de Gouges Cété pair sans les n° et cdté impair allant des n° 45 a 999"
"247",606,"QUATORZE JUILLET AVENUE DU QUATORZE JUILLET","Périmétre : Périmétre Elémentaire Louis Pasteur Cété pair sans les n° et cdté impair allant des n° 1 a 43","QUATORZE","JUILLET AVENUE DU QUATORZE JUILLET"," Louis Pasteur Cété pair sans les n° et cdté impair allant des n° 1 a 43"
"248",609,"QUATRE SEPTEMBRE RUE DU QUATRE SEPTEMBRE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair","QUATRE","SEPTEMBRE RUE DU QUATRE SEPTEMBRE","Pasteur Tout le cété pair et tout le cété impair"
"249",616,"RABELAIS RUE RABELAIS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cdté pair et tout le cété impair","RABELAIS","RUE RABELAIS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cdté pair et tout le cété impair"
"250",619,"RACINE ALLEE RACINE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Toutle cété pair et tout le coté impair","RACINE","ALLEE RACINE"," Jules Ferry Jean Rostand Toutle cété pair et tout le coté impair"
"251",625,"RAPHAEL ALLEE RAPHAEL","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","RAPHAEL","ALLEE RAPHAEL"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"252",626,"RAPHAEL ALLEE RAPHAEL","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le céte impair","RAPHAEL","ALLEE RAPHAEL","Alain Savary Roger Salengr Tout le cété pair et tout le céte impair"
"253",632,"REGALE ALLEE DE LA REGALE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","REGALE","ALLEE DE LA REGALE","Léo Lagrange Tout le cété pair et tout le cété impair"
"254",640,"RENE CHAR RUE RENE CHAR","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","RENE","CHAR RUE RENE CHAR","Pierre Curie Tout le cété pair et tout le cété impair"
"255",641,"RENE CHAR RUE RENE CHAR","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","RENE","CHAR RUE RENE CHAR"," Pierre Curie Tout le cété pair et tout le cété impair"
"256",650,"REPUBLIQUE AVENUE DE LA REPUBLIQUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","REPUBLIQUE","AVENUE DE LA REPUBLIQUE","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"257",652,"REPUBLIQUE COURS DE LA REPUBLIQUE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","REPUBLIQUE","COURS DE LA REPUBLIQUE"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"258",653,"REPUBLIQUE COURS DE LA REPUBLIQUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair","REPUBLIQUE","COURS DE LA REPUBLIQUE","Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair"
"259",659,"RIMBAUD RUE ARTHUR RIMBAUD","Périmétre : Périmetre Guillaume Apollinaire Tout le cdté pair et tout le cété impair","RIMBAUD","RUE ARTHUR RIMBAUD","Périmétre : Périmetre Guillaume Apollinaire Tout le cdté pair et tout le cété impair"
"260",669,"BENHAMOU AVENUE MAURICE BENHAMOU","Périmétre : Périmetre Elementaire Olympe de Gouges Tout le cdté pair et tout le cote impair","BENHAMOU","AVENUE MAURICE BENHAMOU"," Olympe de Gouges Tout le cdté pair et tout le cote impair"
"261",674,"BERLIOZ ALLEE HECTOR BERLIOZ","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le coté impair","BERLIOZ","ALLEE HECTOR BERLIOZ"," R.Salengro J.Béthinger Tout le cété pair et tout le coté impair"
"262",675,"BERLIOZ ALLEE HECTOR BERLIOZ","Périmétre : Périmetre Maternelle Alain Savary Roger Salengrc Tout le cété pair et tout le coté impair","BERLIOZ","ALLEE HECTOR BERLIOZ","Alain Savary Roger Salengrc Tout le cété pair et tout le coté impair"
"263",677,"BERTHELOT RUE MARCELIN BERTHELOT","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cdté pair et tout le cété impair","BERTHELOT","RUE MARCELIN BERTHELOT","Léo Lagrange Tout le cdté pair et tout le cété impair"
"264",678,"BERTHELOT RUE MARCELIN BERTHELOT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","BERTHELOT","RUE MARCELIN BERTHELOT"," Léo Lagrange Tout le cété pair et tout le cété impair"
"265",682,"BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 68 a 98 et cdté impair allant des n° 69 a 77","BLANQUI","RUE LOUIS AUGUSTE BLANQUI","Camille Claudel Cété pair allant des n° 68 a 98 et cdté impair allant des n° 69 a 77"
"266",683,"BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair allant des n° 68.4 98 et cdté impair allant des n° 69 a 77","BLANQUI","RUE LOUIS AUGUSTE BLANQUI"," Camille Claudel Cété pair allant des n° 68.4 98 et cdté impair allant des n° 69 a 77"
"267",684,"BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Cété pair allant des n° 102 A 999 et cété impair allant des n° 79 a 99¢","BLANQUI","RUE LOUIS AUGUSTE BLANQUI"," Jules Ferry Jean Rostand Cété pair allant des n° 102 A 999 et cété impair allant des n° 79 a 99¢"
"268",687,"BLERIOT AVENUE BLERIOT","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","BLERIOT","AVENUE BLERIOT"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"269",688,"BLERIOT AVENUE BLERIOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cote impair","BLERIOT","AVENUE BLERIOT","Alain Savary Roger Salengr Tout le cété pair et tout le cote impair"
"270",691,"BLERIOT SENTE BLERIOT .","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","BLERIOT","SENTE BLERIOT .","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"271",694,"BLUM AVENUE LEON BLUM","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cdté pair allant des n° 2 a14et cété impair allant des n° 1a 17 ah","BLUM","AVENUE LEON BLUM"," Noue Caillet Albert Camus Cdté pair allant des n° 2 a14et cété impair allant des n° 1a 17 ah"
"272",695,"BLUM AVENUE LEON BLUM","Périmétre : Périmetre Maternelle Terre Saint Blaise Cété pair allant des n° 16 a 998 et cété impair allant des n° 19 a 999 } oe","BLUM","AVENUE LEON BLUM","Terre Saint Blaise Cété pair allant des n° 16 a 998 et cété impair allant des n° 19 a 999 } oe"
"273",696,"BLUM AVENUE LEON BLUM","Périmétre : Périmétre A.Césaire/A.Boulloche Cété pair allant des n° 16 a 998 et cété impair allant desn°19a999) ©","BLUM","AVENUE LEON BLUM","Périmétre : Périmétre A.Césaire/A.Boulloche Cété pair allant des n° 16 a 998 et cété impair allant desn°19a999) ©"
"274",699,"BOILEAU ALLEE BOILEAU","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","BOILEAU","ALLEE BOILEAU"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"275",701,"BON AIR RUE DU BONAIR","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","BON","AIR RUE DU BONAIR","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"276",702,"BON AIR RUE DU BONAIR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le c6té impair","BON","AIR RUE DU BONAIR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le c6té impair"
"277",705,"BONDY RUE DE BONDY","Périmétre : Périmetre Maternelle Pierre Curie Tout le cdté pair et tout le cété impair","BONDY","RUE DE BONDY","Pierre Curie Tout le cdté pair et tout le cété impair"
"278",711,"BORDIER RUE BORDIER","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair","BORDIER","RUE BORDIER","Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair"
"279",713,"BOREL RUE BOREL","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair","BOREL","RUE BOREL"," Louis Pasteur Tout le cété pair et tout le cété impair"
"280",719,"RIMBAUD PLACE ARTHUR RIMBAUD","Périmétre : Périmetre Eleémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair","RIMBAUD","PLACE ARTHUR RIMBAUD"," Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"281",721,"ROGER RUE PAULINE ROGER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cdté pair et tout le cété impair","ROGER","RUE PAULINE ROGER"," Pierre Curie Tout le cdté pair et tout le cété impair"
"282",722,"ROGER RUE PAULINE ROGER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdété impair","ROGER","RUE PAULINE ROGER","Pierre Curie Tout le cété pair et tout le cdété impair"
"283",728,"ROSES ALLEE DES ROSES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cote pair et tout le cdété impair","ROSES","ALLEE DES ROSES"," Noue Caillet Albert Camus Tout le cote pair et tout le cdété impair"
"284",730,"ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Maternelle Mainguy "" Coté pair allant des n° 1 a 184 et cété impair allant desn°1a185 } /","ROSNY","AVENUE DE ROSNY  J S","Mainguy "" Coté pair allant des n° 1 a 184 et cété impair allant desn°1a185 } /"
"285",731,"ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmétre Eleémentaire Mainguy/Guehenno Cété pair allant des n° 2 a 184 et cdté impair allant des n° 1 a 185 ~","ROSNY","AVENUE DE ROSNY  J S"," Mainguy/Guehenno Cété pair allant des n° 2 a 184 et cdté impair allant des n° 1 a 185 ~"
"286",732,"ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair allant des n° 186 a 998 et cdté impair allant des n° 186 a\9¢ cy","ROSNY","AVENUE DE ROSNY  J S"," R.Salengro J.Béthinger Cété pair allant des n° 186 a 998 et cdté impair allant des n° 186 a\9¢ cy"
"287",733,"ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Cété pair allant des n° 186 a 999 et cété impair allant des n° 187 a 9¢_/","ROSNY","AVENUE DE ROSNY  J S","Alain Savary Roger Salengr Cété pair allant des n° 186 a 999 et cété impair allant des n° 187 a 9¢_/"
"288",735,"ROUGET DE L'ISLE AVENUE ROUGET DE L'ISLE ;","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdété impair","ROUGET","DE L'ISLE AVENUE ROUGET DE L'ISLE ;"," R.Salengro J.Béthinger Tout le cété pair et tout le cdété impair"
"289",736,"ROUGET DE L'ISLE AVENUE ROUGET DE L'ISLE ;","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","ROUGET","DE L'ISLE AVENUE ROUGET DE L'ISLE ;","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"290",738,"ROUSSEAU RUE JEAN JACQUES ROUSSEAU","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le céte impair","ROUSSEAU","RUE JEAN JACQUES ROUSSEAU"," Noue Caillet Albert Camus Tout le cété pair et tout le céte impair"
"291",739,"ROUSSEAU RUE JEAN JACQUES ROUSSEAU","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","ROUSSEAU","RUE JEAN JACQUES ROUSSEAU","Jean Zay Tout le cété pair et tout le cété impair"
"292",741,"RULHIERE ALLEE RULHIERE ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair","RULHIERE","ALLEE RULHIERE ;"," Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"293",744,"SAINT LOUIS RUE SAINT LOUIS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","SAINT","LOUIS RUE SAINT LOUIS"," Pierre Curie Tout le cété pair et tout le cété impair"
"294",751,"SAINTE BARBE RUE SAINTE BARBE","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair","SAINTE","BARBE RUE SAINTE BARBE"," Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"295",754,"SAINTE BARBE RUELLE SAINTE BARBE","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","SAINTE","BARBE RUELLE SAINTE BARBE","Mainguy Tout le cété pair et tout le cété impair"
"296",756,"SALENGRO RUE ROGER SALENGRO","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Cété pair allant des n° 2 a 998 et cété impair allant des n° 31 a 999","SALENGRO","RUE ROGER SALENGRO","Alain Savary Roger Salengr Cété pair allant des n° 2 a 998 et cété impair allant des n° 31 a 999"
"297",761,"SAN MARTIN ALLEE SAN MARTIN","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","SAN","MARTIN ALLEE SAN MARTIN","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"298",762,"SAN MARTIN ALLEE SAN MARTIN","Périmétre : Périmetre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","SAN","MARTIN ALLEE SAN MARTIN","Périmétre : Périmetre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"299",771,"SAND ALLEE GEORGES SAND","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdté impair","SAND","ALLEE GEORGES SAND"," Léo Lagrange Tout le cété pair et tout le cdté impair"
"300",774,"SARTRE RUE JEAN PAUL SARTRE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair","SARTRE","RUE JEAN PAUL SARTRE"," Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"301",775,"SARTRE RUE JEAN PAUL SARTRE","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair","SARTRE","RUE JEAN PAUL SARTRE","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"304",782,"SEAILLES VILLA GABRIEL SEAILLES","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le coté impair","SEAILLES","VILLA GABRIEL SEAILLES"," Mainguy/Guehenno Tout le cété pair et tout le coté impair"
"305",783,"SEAILLES VILLA GABRIEL SEAILLES","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","SEAILLES","VILLA GABRIEL SEAILLES","Mainguy Tout le cété pair et tout le cété impair"
"306",785,"SEMBAT ALLEE MARCEL SEMBAT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","SEMBAT","ALLEE MARCEL SEMBAT"," Léo Lagrange Tout le cété pair et tout le cété impair"
"307",786,"SEMBAT ALLEE MARCEL SEMBAT","Périmétre : Périmetre Maternelle Leo Lagrange Tout le cété pair et tout le cdté impair","SEMBAT","ALLEE MARCEL SEMBAT","Leo Lagrange Tout le cété pair et tout le cdté impair"
"308",789,"SERGENT BOBILLOT RUE DU SERGENT BOBILLOT","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","SERGENT","BOBILLOT RUE DU SERGENT BOBILLOT"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"309",790,"SERGENT BOBILLOT RUE DU SERGENT BOBILLOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","SERGENT","BOBILLOT RUE DU SERGENT BOBILLOT","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"310",792,"SIMON BOLIVAR ALLEE SIMON BOLIVAR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","SIMON","BOLIVAR ALLEE SIMON BOLIVAR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"311",793,"SIMON BOLIVAR ALLEE SIMON BOLIVAR","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le coté impair","SIMON","BOLIVAR ALLEE SIMON BOLIVAR","Terre Saint Blaise Tout le cété pair et tout le coté impair"
"312",795,"SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Elementaire Camille Claudel Cété pair allant des n° 2 a 40 et cdté impair allant des n° 1 a 33","SOLIDARITE","RUE DE LA SOLIDARITE"," Camille Claudel Cété pair allant des n° 2 a 40 et cdté impair allant des n° 1 a 33"
"313",796,"SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 2 4 40 et cdté impair allant des n° 1 a 33","SOLIDARITE","RUE DE LA SOLIDARITE","Camille Claudel Cété pair allant des n° 2 4 40 et cdté impair allant des n° 1 a 33"
"314",797,"SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Coté pair allant des n° 42 4 998 et cdté impair allant des n° 35 a 998","SOLIDARITE","RUE DE LA SOLIDARITE","Alain Savary Roger Salengr: Coté pair allant des n° 42 4 998 et cdté impair allant des n° 35 a 998"
"315",798,"SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair allant des n° 42 a 998 et cdté impair allant des n° 35 a 998","SOLIDARITE","RUE DE LA SOLIDARITE"," R.Salengro J.Béthinger Cété pair allant des n° 42 a 998 et cdté impair allant des n° 35 a 998"
"316",801,"SOLIDARITE IMPASSE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cdté pair et tout le cété impair","SOLIDARITE","IMPASSE DE LA SOLIDARITE","Jules Ferry Tout le cdté pair et tout le cété impair"
"317",804,"SORBIERS ALLEE DES SORBIERS","Périmétre : Périmeétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","SORBIERS","ALLEE DES SORBIERS","Périmétre : Périmeétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"318",805,"SORBIERS ALLEE DES SORBIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair","SORBIERS","ALLEE DES SORBIERS","Terre Saint Blaise Tout le cété pair et tout le cdté impair"
"319",807,"STAINS ROUTE DE STAINS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cdté pair et tout le cété impair","STAINS","ROUTE DE STAINS"," Noue Caillet Albert Camus Tout le cdté pair et tout le cété impair"
"320",808,"STAINS ROUTE DE STAINS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","STAINS","ROUTE DE STAINS","Jean Zay Tout le cété pair et tout le cété impair"
"321",811,"SURCOUF ALLEE DE SURCOUF","Périmétre : Périmetre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","SURCOUF","ALLEE DE SURCOUF"," Pierre Curie Tout le cété pair et tout le cété impair"
"322",813,"SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cdté pair allant des n° 2 a 42 et cdté impair sans les n°","SUZANNE","BUISSON AVENUE SUZANNE BUISSON N"," Noue Caillet Albert Camus Cdté pair allant des n° 2 a 42 et cdté impair sans les n°"
"323",814,"SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre Maternelle Jean Zay Cété pair allant des n° 2 a 12 et cdtéimpair sans les n°","SUZANNE","BUISSON AVENUE SUZANNE BUISSON N","Jean Zay Cété pair allant des n° 2 a 12 et cdtéimpair sans les n°"
"324",815,"SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre Maternelle Terre Saint Blaise Cété pair allant des n°,14 a 998 ef tout le cété impair","SUZANNE","BUISSON AVENUE SUZANNE BUISSON N","Terre Saint Blaise Cété pair allant des n°,14 a 998 ef tout le cété impair"
"325",816,"SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre A.Césaire/A.Boulloche Cété pair allant des n° 14 a 998 et tout le cété impair","SUZANNE","BUISSON AVENUE SUZANNE BUISSON N","Périmétre : Périmetre A.Césaire/A.Boulloche Cété pair allant des n° 14 a 998 et tout le cété impair"
"326",818,"SYCOMORES ALLEE DES SYCOMORES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","SYCOMORES","ALLEE DES SYCOMORES","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"327",826,"SYLPHES ALLEE DES SYLPHES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair /","SYLPHES","ALLEE DES SYLPHES"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair /"
"328",830,"TABARLY | RUE ERIC TABARLY","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cdté impair","TABARLY"," RUE ERIC TABARLY"," Olympe de Gouges Tout le cété pair et tout le cdté impair"
"329",834,"TANGUY RUE ROL-TANGUY","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","TANGUY","RUE ROL-TANGUY"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"330",837,"TERRE SAINT BLAISE RUE DE LATERRE SAINT BLAISE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cdté pair et tout le cdté impair","TERRE","SAINT BLAISE RUE DE LATERRE SAINT BLAISE","Terre Saint Blaise Tout le cdté pair et tout le cdté impair"
"331",839,"THERESE ALLEE THERESE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair","THERESE","ALLEE THERESE","Léo Lagrange Tout le cété pair et tout le coté impair"
"332",842,"THOREL VILLA THOREL F","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cdté impair","THOREL","VILLA THOREL F"," Guillaume Apollinaire Tout le cété pair et tout le cdté impair"
"333",843,"THOREL VILLA THOREL F","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair","THOREL","VILLA THOREL F","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"334",845,"TILLEULS ALLEE DES TILLEULS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","TILLEULS","ALLEE DES TILLEULS"," Pierre Curie Tout le cété pair et tout le cété impair"
"335",846,"TILLEULS ALLEE DES TILLEULS","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","TILLEULS","ALLEE DES TILLEULS","Pierre Curie Tout le cété pair et tout le cété impair"
"336",848,"TILLION RUE GERMAINE TILLION","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cdté pair et tout le coté impair","TILLION","RUE GERMAINE TILLION"," Noue Caillet Albert Camus Tout le cdté pair et tout le coté impair"
"337",849,"TILLION RUE GERMAINE TILLION","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","TILLION","RUE GERMAINE TILLION","Jean Zay Tout le cété pair et tout le cété impair"
"338",852,"TREMEUGE RUE DE TREMEUGE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair","TREMEUGE","RUE DE TREMEUGE"," Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"339",854,"TRINQUAMELLE | RUE TRINQUAMELLE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","TRINQUAMELLE"," RUE TRINQUAMELLE","Terre Saint Blaise Tout le cété pair et tout le cété impair"
