"","numero","nom_voie","nom"
"226221",40,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226438",3,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226439",4,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226440",5,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226441",6,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226442",7,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226443",8,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226444",9,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226445",10,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226446",11,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226447",12,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226448",13,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226449",14,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226450",15,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226451",16,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226452",17,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226453",18,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226454",19,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226455",20,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226456",21,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226457",22,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226458",23,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226459",24,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226460",25,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226461",27,"Avenue Denise","la mare à la Veuve la remise à Jorelle"
"226529",2,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226534",10,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226536",12,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226538",14,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
"226540",16,"Rue Edouard Vaillant","la mare à la Veuve la remise à Jorelle"
