"","NOM","case","NATURE","NOM2","raccourci"
"188","QUAI HUBERTINE AUCLERT","1D","QUAI","HUBERTINE AUCLERT","Merisiers NC-TSB"
"189","R 4 SEPTEMBRE","3E","R","4 SEPTEMBRE","Merisiers"
"190","R 5 ORMES","4C","R","5 ORMES","Saule"
"191","R ABBE MAURICE BAURIT","3C","R","ABBE MAURICE BAURIT","Saule"
"192","R ALEXANDRA DAVID NEEL","3B","R","ALEXANDRA DAVID NEEL","MVeuve Saule"
"193","R AMEDEE GUYARD","4D","R","AMEDEE GUYARD","Saule"
"194","R ANDREI SAKHAROV","2F","R","ANDREI SAKHAROV","Merisiers NC-TSB"
"195","R ARETHA FRANKLIN","2D","R","ARETHA FRANKLIN","NC-TSB"
"196","R ARTHUR GROUSSIER","3D","R","ARTHUR GROUSSIER","Merisiers"
"197","R ARTHUR RIMBAUD","2D","R","ARTHUR RIMBAUD","Mainguy"
"198","R AUGUSTE POLISSARD","2C","R","AUGUSTE POLISSARD","Mainguy NC-TSB"
"199","R AVIATION","4C","R","AVIATION","Saule"
"200","R BAUDIN","1C","R","BAUDIN","Mainguy"
"201","R BEAUREGARD","2C","R","BEAUREGARD","Mainguy"
"202","R BEL AIR","4B","R","BEL AIR","MVeuve Saule"
"203","R BERANGER","4D","R","BERANGER","Saule"
"204","R BERNARD DE JUSSIEU","4C","R","BERNARD DE JUSSIEU","Saule"
"205","R BON AIR","2F","R","BON AIR","NC-TSB"
"206","R BONDY","4A","R","BONDY","MVeuve"
"207","R BORDIER","2B","R","BORDIER","Saule"
"208","R BOREL","3D","R","BOREL","Merisiers"
"209","R BREUIL","2C","R","BREUIL","Mainguy"
"210","R BUTTE","4B","R","BUTTE","MVeuve"
"211","R CESAR DELAINE","4C","R","CESAR DELAINE","Saule"
"212","R CHALET","4C","R","CHALET","Saule"
"213","R CHAMPART","2C","R","CHAMPART","Mainguy"
"214","R CHARLES FERDINAND","3C","R","CHARLES FERDINAND","Saule"
"215","R CHARLES MAGNE","4B","R","CHARLES MAGNE","Saule"
"216","R CHEMIN DE FER PROLONGEE","3B","R","CHEMIN DE FER PROLONGEE","MVeuve"
"217","R CLOS VAILLANT","2B","R","CLOS VAILLANT","Saule"
"218","R COMPAGNON","3D","R","COMPAGNON","Saule"
"219","R COQ GAULOIS","4D","R","COQ GAULOIS","Saule"
"220","R CRONSTADT","1C","R","CRONSTADT","Mainguy"
"221","R CYCLE","4D","R","CYCLE","Saule"
"222","R DAVID LEDER","2B","R","DAVID LEDER","MVeuve Mainguy"
"223","R DENYS COCHIN","3C","R","DENYS COCHIN","Saule"
"224","R DESIRE LEON","4B","R","DESIRE LEON","MVeuve Saule"
"225","R DROITS DE L'HOMME","2C","R","DROITS DE L'HOMME","Mainguy"
"226","R ECOLES","3D","R","ECOLES","Merisiers"
"227","R EDOUARD VAILLANT","2B","R","EDOUARD VAILLANT","MVeuve Mainguy Saule"
"228","R EGALITE","2C","R","EGALITE","Mainguy"
"229","R EMILE ZOLA","3E","R","EMILE ZOLA","Merisiers"
"230","R EMMANUEL FAIRON","3D","R","EMMANUEL FAIRON","Saule"
"231","R ERIC TABARLY","2E","R","ERIC TABARLY","Merisiers NC-TSB"
"232","R ESCHOLIERS","2F","R","ESCHOLIERS","NC-TSB"
"233","R ETIENNE DOLET","2B","R","ETIENNE DOLET","MVeuve"
"234","R EUGENE MASSON","4B","R","EUGENE MASSON","Saule"
"235","R EUGENE VARLIN","2F","R","EUGENE VARLIN","NC-TSB"
