InputID,TargetID,Distance
"196",mairie,1815.48023868963
"197",mairie,1475.31022506744
"198",mairie,1840.13508932879
"199",mairie,1801.86000277955
"200",mairie,1470.27271616064
"201",mairie,260.509190005772
"202",mairie,280.952875095176
"203",mairie,1834.85268178342
"204",mairie,328.55213097086
"205",mairie,340.373674305608
"206",mairie,197.198023910026
"207",mairie,1466.02224576181
"208",mairie,313.904826600475
"209",mairie,306.45348013444
"210",mairie,1313.42181394874
"211",mairie,174.688226893291
"212",mairie,394.844574979781
"213",mairie,286.065916621789
"214",mairie,227.593913822471
"215",mairie,385.890393453524
"216",mairie,279.577160575385
"217",mairie,264.397992204306
"218",mairie,152.990826928568
"219",mairie,242.997445187785
"220",mairie,366.766848190432
"221",mairie,360.309949880132
"222",mairie,252.591339233827
