"","NOM_1_G","case"
"78","R LUCIEN CHAPELAIN","3E"
"192","R MARCEL DASSAULT","2A"
"192.1","R MARCEL DASSAULT","3A"
"311","R MARCEL PAUL","3A"
"27","R MARCELLIN BERTHELOT","4D"
"205","R MARGUERITE DURAS","3B"
"51","R MARTIN LUTHER KING","3B"
"51.1","R MARTIN LUTHER KING","3C"
"111","R MICHELET","1C"
"111.1","R MICHELET","2C"
"73","R NADIA MURAD","2D"
"15","R NEUVE","3C"
"46","R NOEMIE","3C"
"5","R ODETTE PAIN","2E"
"295","R PAUL ELUARD","3C"
"206","R PAUL RENAUD","2E"
"109","R PAUL VAILLANT COUTURIER","2C"
"221","R PAULINE ROGER","3A"
"221.1","R PAULINE ROGER","2B"
"221.2","R PAULINE ROGER","3B"
"137","R PHILEAS COLLARDEAU","1C"
"137.1","R PHILEAS COLLARDEAU","2C"
"189","R PIERRE BROSSOLETTE","3C"
"325","R PIERRE DE RONSARD","3E"
"173","R RABELAIS","3F"
"37","R RAOUL","4C"
"191","R RENE CHAR","3A"
"191.1","R RENE CHAR","3B"
"20","R ROBERT BONNET","3D"
"20.1","R ROBERT BONNET","4D"
"219","R ROBERT DOUVILLEZ","4D"
"374","R ROGER PANNEQUIN","2E"
"36","R ROGER SALENGRO","2B"
"36.1","R ROGER SALENGRO","2C"
"385","R ROMAIN ROLLAND","4F"
"183","R RUDYARD KIPLING","3B"
"241","R SAINT-LOUIS","4A"
"369","R SAINT-LOUIS PROLONGEE","3A"
"369.1","R SAINT-LOUIS PROLONGEE","4A"
"48","R SAINTE-BARBE","2C"
"298","R SIMONE DE BEAUVOIR","3B"
"345","R SIMONE VEIL","2D"
"339","R SUZANNE BLIN","2E"
"47","R TRINQUAMELLE","2F"
"200","R YVONNE","2C"
"355","R. ARETHA FRANKLIN","2D"
"63","RLE SAINTE-BARBE","2C"
"249","RPE DU PONT","2B"
"267","RPT DU VERGER","2F"
"373","RPT JOUHAUX","2F"
"375","RTE D'AULNAY","2D"
"375.1","RTE D'AULNAY","2E"
"108","RTE DE STAINS","1D"
"4","RTE DE VILLEMOMBLE","3A"
"4.1","RTE DE VILLEMOMBLE","4A"
"4.2","RTE DE VILLEMOMBLE","2B"
"4.3","RTE DE VILLEMOMBLE","3B"
"145","SEN BLERIOT","3B"
"145.1","SEN BLERIOT","3C"
"13","SEN RENE CHAR","3A"
"289","SQ DU 8 MAI 1945","2C"
"55","VLA CARNOT","2C"
"118","VLA DES ABEILLES","1B"
"317","VLA DES CERISES","4D"
"26","VLA DES MARRONNIERS","2B"
"26.1","VLA DES MARRONNIERS","2C"
"41","VLA DU BRECHET","2B"
"262","VLA DU BREUIL","2C"
"110","VLA FLEURY","2D"
"294","VLA GABRIEL SEAILLES","1C"
"135","VLA LAVIGNE","2C"
"58","VLA MADELEINE","2B"
"58.1","VLA MADELEINE","3B"
"97","VLA PARMENTIER","2C"
"278","VLA THOREL","2D"
"354",NA,"3A"
"344",NA,"2B"
"359",NA,"2B"
"337",NA,"3C"
"337.1",NA,"3D"
"351",NA,"3D"
"357",NA,"3D"
"338",NA,"2E"
"341",NA,"2E"
"342",NA,"2E"
"343",NA,"2E"
"340",NA,"2F"
"342.1",NA,"2F"
"343.1",NA,"2F"
