"","NATURE","NOM_1_G","case","creche"
"100","Route à 1 chaussée","R FRANCOISE HERITIER","2D","Maison de la petite enfance"
"110","Route à 1 chaussée","RTE D'AULNAY","2D","Maison de la petite enfance"
"117","Route à 1 chaussée","ALL ANNE FRANK","2D","Crèche Arc en Ciel"
"125","Route à 1 chaussée","PL ARTHUR RIMBAUD","2D","Crèche Arc en Ciel"
"127.1","Route à 1 chaussée","R JEAN JAURES","2D","Crèche Arc en Ciel"
"129","Route à 1 chaussée","R JULIE VICTOIRE DAUBIE","2D","Crèche Arc en Ciel"
"147.1","Route à 2 chaussées","AV GALLIENI PAIR","2D","Crèche Arc en Ciel"
"160","Route à 1 chaussée","VLA FLEURY","2D","Crèche Arc en Ciel"
"170","Route à 1 chaussée","ALL GEORGES SAND","2D","Crèche Arc en Ciel"
"172","Route à 1 chaussée","R GATINE","2D","Crèche Arc en Ciel"
"179","Route à 1 chaussée","R ARTHUR RIMBAUD","2D","Crèche Arc en Ciel"
"182.1","Route à 1 chaussée","R DU BREUIL","2D","Crèche Arc en Ciel"
"189","Route à 1 chaussée","IMP FERNAND POTTIER","2D","Crèche Arc en Ciel"
"198","Route à 1 chaussée","R HELENE BOUCHER","2D","Crèche Arc en Ciel"
"206","Route à 1 chaussée","VLA THOREL","2D","Crèche Arc en Ciel"
"212.2","Route à 1 chaussée","R DES FRERES DARTY","2D","Crèche Arc en Ciel"
"218.2","Route à 1 chaussée","PL DU 11 NOVEMBRE 1918","2D","Crèche Arc en Ciel"
"223.1","Route à 2 chaussées","R AUGUSTE POLISSARD","2D","Crèche Arc en Ciel"
"226.3","Rond-point","R JULES GUESDE","2D","Crèche Arc en Ciel"
"17.2","Route à 2 chaussées","AV GALLIENI IMPAIRS","3D","Maison de la petite enfance"
"20","Sentier","R DES ECOLES","3D","Maison de la petite enfance"
"21","Route à 1 chaussée","AV MARGUERITE","3D","Maison de la petite enfance"
"23","Route à 1 chaussée","AV DES MESARMES","3D","Maison de la petite enfance"
"49.1","Route à 1 chaussée","AV GUEUGNON","3D","Maison de la petite enfance"
"58","Route à 1 chaussée","R ARTHUR GROUSSIER","3D","Maison de la petite enfance"
"61","Route à 1 chaussée","R BOREL","3D","Maison de la petite enfance"
"69","Route à 2 chaussées","CHE DU PONT","3D","Maison de la petite enfance"
"72","Route à 1 chaussée","R LAUG","3D","Maison de la petite enfance"
"80","Route à 1 chaussée","R FONTAINE","3D","Maison de la petite enfance"
"94.2","Chemin","QUAI HUBERTINE AUCLERT","3D","Maison de la petite enfance"
"98","Route à 1 chaussée",NA,"3D","Maison de la petite enfance"
"101","Sentier",NA,"3D","Maison de la petite enfance"
"119.1","Route à 1 chaussée","ALL DES RENONCULES","3D","Crèche Arc en Ciel"
"120","Route à 1 chaussée","R EMMANUEL FAIRON","3D","Crèche Arc en Ciel"
"121.1","Route à 1 chaussée","AV PASTEUR","3D","Crèche Arc en Ciel"
"124","Route à 1 chaussée","ALL HANNAH ARENDT","3D","Crèche Arc en Ciel"
"126","Route à 1 chaussée","R ROBERT BONNET","3D","Crèche Arc en Ciel"
"129.1","Route à 1 chaussée","R JULIE VICTOIRE DAUBIE","3D","Crèche Arc en Ciel"
"130","Route à 1 chaussée","ALL DES ORCHIDEES","3D","Crèche Arc en Ciel"
"132","Route à 1 chaussée","ALL DES IRIS","3D","Crèche Arc en Ciel"
"141","Route à 1 chaussée","ALL DES PAQUERETTES","3D","Crèche Arc en Ciel"
"144","Route à 1 chaussée","R GEORGES ELIE","3D","Crèche Arc en Ciel"
"147.2","Route à 2 chaussées","AV GALLIENI PAIR","3D","Crèche Arc en Ciel"
"151.2","Route à 1 chaussée","PL NICOLE NEUBURGER","3D","Crèche Arc en Ciel"
"154","Route à 1 chaussée","PL DES FLEURS","3D","Crèche Arc en Ciel"
"170.1","Route à 1 chaussée","ALL GEORGES SAND","3D","Crèche Arc en Ciel"
"173","Route à 1 chaussée","R DES GAZELLES","3D","Crèche Arc en Ciel"
"176","Sentier","16","3D","Crèche Arc en Ciel"
"177","Route à 1 chaussée","IMP DES VIOLETTES","3D","Crèche Arc en Ciel"
"178","Route à 1 chaussée","ALL DES ANEMONES","3D","Crèche Arc en Ciel"
"180.1","Route à 1 chaussée","AV DE VERDUN","3D","Crèche Arc en Ciel"
"181","Route à 1 chaussée","ALL DES LILAS","3D","Crèche Arc en Ciel"
"184","Route à 1 chaussée","R COMPAGNON","3D","Crèche Arc en Ciel"
"198.1","Route à 1 chaussée","R HELENE BOUCHER","3D","Crèche Arc en Ciel"
"202.1","Route à 1 chaussée","ALL DES PRIMEVERES","3D","Crèche Arc en Ciel"
"207.1","Route à 1 chaussée","R JULES AUFFRET","3D","Crèche Arc en Ciel"
"224.1","Sentier",NA,"3D","Crèche Arc en Ciel"
"228.1","Route à 2 chaussées","AV MAL DE LATTRE DE TASSIGNY","3D","Crèche Arc en Ciel"
"17.3","Route à 2 chaussées","AV GALLIENI IMPAIRS","4D","Maison de la petite enfance"
"116","Chemin","ALL POTTIER","4D","Crèche Arc en Ciel"
"120.1","Route à 1 chaussée","R EMMANUEL FAIRON","4D","Crèche Arc en Ciel"
"122.1","Route à 1 chaussée","ALL DE LA REGALE","4D","Crèche Arc en Ciel"
"126.1","Route à 1 chaussée","R ROBERT BONNET","4D","Crèche Arc en Ciel"
"128","Route à 1 chaussée","R MARCELLIN BERTHELOT","4D","Crèche Arc en Ciel"
"142.1","Route à 1 chaussée","R HENRI DOUILLOT","4D","Crèche Arc en Ciel"
"144.1","Route à 1 chaussée","R GEORGES ELIE","4D","Crèche Arc en Ciel"
"151.3","Route à 1 chaussée","PL NICOLE NEUBURGER","4D","Crèche Arc en Ciel"
"153","Route à 1 chaussée","R BERANGER","4D","Crèche Arc en Ciel"
"156.1","Route à 1 chaussée","ALL THERESE","4D","Crèche Arc en Ciel"
"157","Route à 1 chaussée","ALL LEON","4D","Crèche Arc en Ciel"
"173.1","Route à 1 chaussée","R DES GAZELLES","4D","Crèche Arc en Ciel"
"180.2","Route à 1 chaussée","AV DE VERDUN","4D","Crèche Arc en Ciel"
"184.1","Route à 1 chaussée","R COMPAGNON","4D","Crèche Arc en Ciel"
"187","Route à 1 chaussée","R DU CYCLE","4D","Crèche Arc en Ciel"
"190","Route à 1 chaussée","R ROBERT DOUVILLEZ","4D","Crèche Arc en Ciel"
"215","Route à 1 chaussée","VLA DES CERISES","4D","Crèche Arc en Ciel"
"217","Route à 1 chaussée","R AMEDEE GUYARD","4D","Crèche Arc en Ciel"
"219","Route à 1 chaussée","ALL RASPAIL","4D","Crèche Arc en Ciel"
"2","Route à 1 chaussée","R ODETTE PAIN","2E","Maison de la petite enfance"
"7","Sentier","MAIL MARIE-MADELEINE FOURCADE","2E","Maison de la petite enfance"
"10","Route à 1 chaussée","ALL MOZART","2E","Maison de la petite enfance"
"12","Route à 1 chaussée","R GERMAINE TILLION","2E","Maison de la petite enfance"
"30","Route à 1 chaussée","R DES FLORALIES","2E","Maison de la petite enfance"
"35","Route à 1 chaussée","PAS DES DEUX VILLES","2E","Maison de la petite enfance"
"39.1","Route à 1 chaussée","ALL DES TULIPES","2E","Maison de la petite enfance"
"40","Route à 1 chaussée","R HENRI MOULY","2E","Maison de la petite enfance"
"42.1","Route à 1 chaussée","ALL DES LAURIERS","2E","Maison de la petite enfance"
"47","Route à 1 chaussée","R DE VERSAILLES","2E","Maison de la petite enfance"
"50","Route à 1 chaussée","R PAUL RENAUD","2E","Maison de la petite enfance"
"62","Sentier","R ERIC TABARLY","2E","Maison de la petite enfance"
"63","Route à 1 chaussée","R HENRI ROL TANGUY","2E","Maison de la petite enfance"
"64","Route à 1 chaussée","R LUCIE AUBRAC","2E","Maison de la petite enfance"
"65","Route à 1 chaussée","AV CLARA GRANDET","2E","Maison de la petite enfance"
"71","Route à 1 chaussée","AV LEON BLUM","2E","Maison de la petite enfance"
"73","Route à 1 chaussée","AV JEAN LEBAS","2E","Maison de la petite enfance"
"75","Route à 1 chaussée","ALL DES FOUGERES","2E","Maison de la petite enfance"
"78","Route à 1 chaussée","AV MAURICE BENHAMOU","2E","Maison de la petite enfance"
"86","Sentier",NA,"2E","Maison de la petite enfance"
"87","Chemin","R SUZANNE BLIN","2E","Maison de la petite enfance"
"89","Sentier",NA,"2E","Maison de la petite enfance"
"90","Sentier",NA,"2E","Maison de la petite enfance"
"91","Sentier",NA,"2E","Maison de la petite enfance"
"95","Sentier","17","2E","Maison de la petite enfance"
"96","Route à 2 chaussées","AV MARX DORMOY","2E","Maison de la petite enfance"
"102","Route à 2 chaussées","AV SUZANNE BUISSON","2E","Maison de la petite enfance"
"103","Route à 1 chaussée","AV JEAN MOULIN","2E","Maison de la petite enfance"
"104","Route à 1 chaussée","R JEAN PIERRE LEVY","2E","Maison de la petite enfance"
"105","Route à 1 chaussée","PAS DU VERCORS","2E","Maison de la petite enfance"
"109","Route à 1 chaussée","R ROGER PANNEQUIN","2E","Maison de la petite enfance"
"110.1","Route à 1 chaussée","RTE D'AULNAY","2E","Maison de la petite enfance"
"111","Route à 1 chaussée","AV HENRI VARAGNAT","2E","Maison de la petite enfance"
"112","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU","2E","Maison de la petite enfance"
"113.1","Route à 1 chaussée","CHE DE GROSLAY","2E","Maison de la petite enfance"
"11","Route à 1 chaussée","AV DE LA VILLAGEOISE","3E","Maison de la petite enfance"
"19","Route à 1 chaussée","R LUCIEN CHAPELAIN","3E","Maison de la petite enfance"
"22","Route à 1 chaussée","R EMILE ZOLA","3E","Maison de la petite enfance"
"23.1","Route à 1 chaussée","AV DES MESARMES","3E","Maison de la petite enfance"
"29","Chemin","IMP DE LA PARISIENNE","3E","Maison de la petite enfance"
"31","Route à 1 chaussée","R JEAN-MARIE TJIBAOU","3E","Maison de la petite enfance"
"36","Route à 1 chaussée","R DE MEAUX","3E","Maison de la petite enfance"
"41","Route à 1 chaussée","ALL ESPERANTO","3E","Maison de la petite enfance"
"47.1","Route à 1 chaussée","R DE VERSAILLES","3E","Maison de la petite enfance"
"51","Route à 1 chaussée","ALL DES BOSQUETS","3E","Maison de la petite enfance"
"55","Route à 1 chaussée","IMP DE LA JARDINIERE","3E","Maison de la petite enfance"
"58.1","Route à 1 chaussée","R ARTHUR GROUSSIER","3E","Maison de la petite enfance"
"60","Route à 1 chaussée","AV DE LA VILLEGIATURE","3E","Maison de la petite enfance"
"62.1","Sentier","R ERIC TABARLY","3E","Maison de la petite enfance"
"65.1","Route à 1 chaussée","AV CLARA GRANDET","3E","Maison de la petite enfance"
"68","Route à 1 chaussée","AV DE LA PARISIENNE","3E","Maison de la petite enfance"
"76","Route à 1 chaussée","ALL DE LA JARDINIERE","3E","Maison de la petite enfance"
"78.1","Route à 1 chaussée","AV MAURICE BENHAMOU","3E","Maison de la petite enfance"
"80.1","Route à 1 chaussée","R FONTAINE","3E","Maison de la petite enfance"
"81","Route à 1 chaussée","R PIERRE DE RONSARD","3E","Maison de la petite enfance"
"82","Route à 1 chaussée","R DU 4 SEPTEMBRE","3E","Maison de la petite enfance"
"94.3","Chemin","QUAI HUBERTINE AUCLERT","3E","Maison de la petite enfance"
"95.1","Sentier","17","3E","Maison de la petite enfance"
"96.1","Route à 2 chaussées","AV MARX DORMOY","3E","Maison de la petite enfance"
"97","Chemin","IMP DE LA JARDINIERE","3E","Maison de la petite enfance"
"102.1","Route à 2 chaussées","AV SUZANNE BUISSON","3E","Maison de la petite enfance"
"111.1","Route à 1 chaussée","AV HENRI VARAGNAT","3E","Maison de la petite enfance"
"114","Route à 1 chaussée","R FRANCOIS VILLON","3E","Maison de la petite enfance"
"115",NA,"AV DU QUATORZE JUILLET","3E","Maison de la petite enfance"
"1","Route à 1 chaussée","ALL DES ERABLES","2F","Maison de la petite enfance"
"8","Route à 1 chaussée","PL EUDEMON","2F","Maison de la petite enfance"
"9","Route à 1 chaussée","R TRINQUAMELLE","2F","Maison de la petite enfance"
"13","Route à 1 chaussée","ALL DES FRENES","2F","Maison de la petite enfance"
"14","Route à 1 chaussée","R DU BON AIR","2F","Maison de la petite enfance"
"16","Route à 1 chaussée","R GARGANTUA","2F","Maison de la petite enfance"
"24","Route à 1 chaussée","R DE LA TERRE SAINT-BLAISE","2F","Maison de la petite enfance"
"25","Route à 2 chaussées","R DES FRANCS AUBIERS","2F","Maison de la petite enfance"
"26","Route à 1 chaussée","ALL DES BOULEAUX","2F","Maison de la petite enfance"
"36.1","Route à 1 chaussée","R DE MEAUX","2F","Maison de la petite enfance"
"38","Route à 1 chaussée","R EUGENE VARLIN","2F","Maison de la petite enfance"
"44","Route à 1 chaussée","MAIL PANTAGRUEL","2F","Maison de la petite enfance"
"45","Route à 1 chaussée","R DU VERGER","2F","Maison de la petite enfance"
"46","Route à 1 chaussée","ALL ANNE SYLVESTRE","2F","Maison de la petite enfance"
"54","Route à 1 chaussée","ALL DES SYCOMORES","2F","Maison de la petite enfance"
"56","Route à 1 chaussée","ALL DES VIGNES","2F","Maison de la petite enfance"
"57","Route à 1 chaussée","R JULES LECOMTE","2F","Maison de la petite enfance"
"59","Route à 1 chaussée","R DES ESCHOLIERS","2F","Maison de la petite enfance"
"70","Rond-point","RPT DU VERGER","2F","Maison de la petite enfance"
"71.1","Route à 1 chaussée","AV LEON BLUM","2F","Maison de la petite enfance"
"74","Route à 1 chaussée","ALL DES SORBIERS","2F","Maison de la petite enfance"
"77","Route à 1 chaussée","R DE PANURGE","2F","Maison de la petite enfance"
"84","Route à 2 chaussées","AV LEON JOUHAUX","2F","Maison de la petite enfance"
"85","Route à 1 chaussée","R ANDREI SAKHAROV","2F","Maison de la petite enfance"
"88","Sentier",NA,"2F","Maison de la petite enfance"
"90.1","Sentier",NA,"2F","Maison de la petite enfance"
"91.1","Sentier",NA,"2F","Maison de la petite enfance"
"105.1","Route à 1 chaussée","PAS DU VERCORS","2F","Maison de la petite enfance"
"107","Route à 2 chaussées","D78","2F","Maison de la petite enfance"
"108","Rond-point","RPT JOUHAUX","2F","Maison de la petite enfance"
"113.2","Route à 1 chaussée","CHE DE GROSLAY","2F","Maison de la petite enfance"
"4","Route à 1 chaussée","ALL DE LA DEVINIERE","3F","Maison de la petite enfance"
"5","Route à 1 chaussée","PL SCHOELCHER","3F","Maison de la petite enfance"
"24.1","Route à 1 chaussée","R DE LA TERRE SAINT-BLAISE","3F","Maison de la petite enfance"
"25.1","Route à 2 chaussées","R DES FRANCS AUBIERS","3F","Maison de la petite enfance"
"33","Route à 1 chaussée","ALL PABLO NERUDA","3F","Maison de la petite enfance"
"36.2","Route à 1 chaussée","R DE MEAUX","3F","Maison de la petite enfance"
"37","Route à 1 chaussée","R DU FER A CHEVAL","3F","Maison de la petite enfance"
"41.1","Route à 1 chaussée","ALL ESPERANTO","3F","Maison de la petite enfance"
"43","Route à 1 chaussée","R RABELAIS","3F","Maison de la petite enfance"
"44.1","Route à 1 chaussée","MAIL PANTAGRUEL","3F","Maison de la petite enfance"
"46.1","Route à 1 chaussée","ALL ANNE SYLVESTRE","3F","Maison de la petite enfance"
"48","Route à 1 chaussée","ALL SAN MARTIN","3F","Maison de la petite enfance"
"53","Route à 1 chaussée","ALL JOSE MARTI","3F","Maison de la petite enfance"
"66","Route à 1 chaussée","ALL SIMON BOLIVAR","3F","Maison de la petite enfance"
"84.1","Route à 2 chaussées","AV LEON JOUHAUX","3F","Maison de la petite enfance"
"85.1","Route à 1 chaussée","R ANDREI SAKHAROV","3F","Maison de la petite enfance"
"106","Chemin","","3F","Maison de la petite enfance"
"111.2","Route à 1 chaussée","AV HENRI VARAGNAT","3F","Maison de la petite enfance"
"85.2","Route à 1 chaussée","R ANDREI SAKHAROV","4F","Maison de la petite enfance"
