fid,nomnumero,nature,importance,nom,nom_1_g,usage
333,,R,"5",CESADELAINE,R CESAR DELAINE,public
334,,AV,"3",HENRI VARAGNAT,AV HENRI VARAGNAT,public
335,,SQ,"6",8 MAI 1945,SQ DU 8 MAI 1945,public
336,,AV,"5",BLERIOT,AV BLERIOT,public
337,,IMP,"5",SOLIDARITE,IMP DE LA SOLIDARITE,privé
338,,ALL,"5",SYLPHES,ALL DES SYLPHES,public
339,,ALL,"5",FOUGERES,ALL DES FOUGERES,privé
340,,VLA,"5",GABRIEL SEAILLES,VLA GABRIEL SEAILLES,privé
341,,R,"5",PAUL ELUARD,R PAUL ELUARD,privé
342,,ALL,"5",BECQUEREL,ALL BECQUEREL,public
343,,Sans,"6",Sans nom,,privé
344,,R,"5",SIMONE DE BEAUVOIR,R SIMONE DE BEAUVOIR,privé
345,,R,"5",JOE CARMAN,R JOE CARMAN,public
348,,R,"4",EDOUARD VAILLANT,R EDOUARD VAILLANT,public
349,,R,"5",FRERES DARTY,R DES FRERES DARTY,public
350,,AV,"5",ESPERANCE,AV DE L'ESPERANCE,public
351,,CH,"5",MERLAN,CH DU MERLAN,public
352,,Sans,"6",Sans nom,,privé
353,,R,"5",HENRI ALPY,R HENRI ALPY,public
354,,R,"5",GEORGES GRAFF,R GEORGES GRAFF,public
355,,Sans,"6",Sans nom,,privé
356,,AV,"5",CADERAS,AV CADERAS,public
357,,R,"5",PEUPLIERS,R DES PEUPLIERS,public
358,,ALL,"5",ORME,ALL DE L'ORME,public
359,,R,"5",HENRY ESPAULLARD,R HENRY ESPAULLARD,public
360,,ALL,"5",MUGUET,ALL DU MUGUET,public
361,,VLA,"5",CERISES,VLA DES CERISES,privé
362,,R,"6",CHAMPART,R DU CHAMPART,public
363,,R,"5",5 ORMES,R DES 5 ORMES,public
364,,ALL,"5",CORNEILLE,ALL CORNEILLE,public
365,,R,"4",BONDY,R DE BONDY,public
366,,R,"5",AMEDEE GUYARD,R AMEDEE GUYARD,public
367,,R,"5",SAINT-LOUIS PROLONGEE,R SAINT-LOUIS PROLONGEE,public
368,,R,"5",FONTAINE,R FONTAINE,public
369,,R,"5",PIERRE DE RONSARD,R PIERRE DE RONSARD,public
370,,D78,"3",D78,D78,public
371,,R,"1",JULES GUESDE,R JULES GUESDE,public
372,,ALL,"5",RASPAIL,ALL RASPAIL,public
373,,R,"5",4 SEPTEMBRE,R DU 4 SEPTEMBRE,public
374,,R,"5",SIMONE VEIL,R SIMONE VEIL,public
375,,AV,"3",LEON JOUHAUX,AV LEON JOUHAUX,public
376,,R,"4",CHARLES FERDINAND,R CHARLES FERDINAND,public
377,,R,"3",AUGUSTE POLISSARD,R AUGUSTE POLISSARD,public
378,,R,"4",ANDREI SAKHAROV,R ANDREI SAKHAROV,public
379,,PONT,"4",FORET,PONT DE LA FORET,public
380,,Sans,"6",Sans nom,,privé
381,,R,"6",SUZANNE BLIN,R SUZANNE BLIN,public
382,,VOIE,piéton,COULEE VERTE,VOIE TRAM TRAIN,public
383,,R,"5",NADIA MURAD,R NADIA MURAD,public
384,,Sans,"6",Sans nom,,privé
385,,CH,"4",MARE A LA VEUVE,CH DE LA MARE A LA VEUVE,public
316,,PL,"5",GEORGES LYSSANDRE,PL G LYSSANDRE,privé
386,,R,"4",LOUIS AUGUSTE BLANQUI,R LOUIS AUGUSTE BLANQUI,public
387,,Sans,"6",Sans nom,,privé
388,,PASS,"6",BONDY,PASS DE BONDY,public
389,,,,,,
390,,PL,parking,CHARLES DE GAULLE,PL CHARLES DE GAULLE,public
391,,S,"6",GUSTAVE DOUCHY,S GUSTAVE DOUCHY,public
392,,R,"4",JEAN JACQUES ROUSSEAU,R JEAN JACQUES ROUSSEAU,public
393,,R,"5",GISELE HALIMI,R GISELE HALIMI,public
394,,AV,"5",MAURICE BENHAMOU,AV MAURICE BENHAMOU,public
395,,PASS,"6",ECOLES,PASS DES ECOLES,public
396,,AV,"4",ANATOLE FRANCE,AV ANATOLE FRANCE,public
181,,AV,"1",ROSNY,AV DE ROSNY,public
21,,PL,parking,NICOLE NEUBURGER,PL NEUBURGER,public
263,,R,"5",FRANCOISE HERITIER,R FRANCOISE HERITIER,public
