organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1
IMMOBILIERE 3F,93/2009/2002-844/102,121,121,AVENUE,HENRI BARBUSSE,HENRI BARBUSSE,L,30,bondy,93140,121 Avenue Henri Barbusse 93140 Bondy,0.97
IMMOBILIERE 3F,93/2018/2011-1191/029,43,43,AVENUE,HENRI VARAGNAT,HENRI VARAGNAT,L,4,bondy,93140,43 Avenue Henri Varagnat 93140 Bondy,0.97
IMMOBILIERE 3F,93/2018/2011-1191/028,43,43,AVENUE,HENRI VARAGNAT,HENRI VARAGNAT,L,21,bondy,93140,43 Avenue Henri Varagnat 93140 Bondy,0.97
BATIGEREEN IDF,93/1991/85-1231/182,16,16,RUE,JEAN JAURES,JEAN JAURES,L,14,bondy,93140,16 Rue Jean Jaurés 93140 Bondy,0.97
BONDY HABITAT,NC,1,1,RUE,JEAN JAURES,JEAN JAURES,L,19,bondy,93140,1 Rue Jean Jaurés 93140 Bondy,0.97
SEINE-SAINT-DENIS HABITAT,93/1992/85-1231/224,5-11,7,AVENUE,JEAN LEBAS,JEAN LEBAS,,20,bondy,93140,11 Avenue Jean Lebas 93140 Bondy,0.91
BONDY HABITAT,93/1998/85-1231/040,"2 à 16
14 à 26",8,AVENUE,"JEAN LEBAS
 SUZANNE BUISSON",JEAN LEBAS,L,108,bondy,93140,26 Avenue Suzanne Buisson 93140 Bondy,0.61
ESPACE HABITAT CONSTRUCTION,93/1991/85-1231/191,28-32,30,AVENUE,JEAN MOULIN,JEAN MOULIN,L,30,bondy,93140,32 Avenue Jean Moulin 93140 Bondy,0.89
SEINE-SAINT-DENIS HABITAT,93/2009/2002-844/094,"1-27 bis et
4-12
2-10
1-5 et 14-28",14,"AVENUE 
RUE
 RUE","JEAN MOULIN 
HENRI ROL-TANGUY 
LUCIE AUBRAC",LUCIE AUBRAC,L,8,bondy,93140,Rue Henri Rol Tanguy 93140 Bondy,0.33
SEINE-SAINT-DENIS HABITAT,93/2009/2002-844/093,"1-27 bis et
4-12
2-10
1-5  et 14-28",10,"AVENUE 
RUE
 RUE","JEAN MOULIN 
HENRI ROL-TANGUY 
LUCIE AUBRAC",JEAN MOULIN,L,30,bondy,93140,Rue Henri Rol Tanguy 93140 Bondy,0.33
SEINE-SAINT-DENIS HABITAT,93/1994/80-416/112,"1 à 27bis
2-6",15,"AVENUE 
RUE","JEAN MOULIN 
HENRY ROL-TANGUY",JEAN MOULIN,L,248,bondy,93140,6 Rue Henri Rol Tanguy 93140 Bondy,0.48
BONDY HABITAT,93/1991/85-1231/189,"3 à 11
39-47",43,AVENUE,"JEAN MOULIN 
JEAN LEBAS",JEAN LEBAS,L,250,bondy,93140,Avenue Jean Lebas 93140 Bondy,0.54
CDC HABITAT SOCIAL,93/2016/2011-1191/119,12-14,12,AVENUE,JULES FERRY,JULES FERRY,L,20,bondy,93140,14 Avenue Jules Ferry 93140 Bondy,0.89
CDC HABITAT SOCIAL,93/2016/2011-1191/120,12-14,12,AVENUE,JULES FERRY,JULES FERRY,L,30,bondy,93140,14 Avenue Jules Ferry 93140 Bondy,0.89
CDC HABITAT SOCIAL,93/2016/2011-1191/118,12-14,14,AVENUE,JULES FERRY,JULES FERRY,L,48,bondy,93140,14 Avenue Jules Ferry 93140 Bondy,0.89
IMMOBILIERE 3F,93/2010/2002-844/113,49 à 53,49,RUE,JULES GUESDE,JULES GUESDE,L,2,bondy,93140,53 Rue Jules Guesde 93140 Bondy,0.84
IMMOBILIERE 3F,93/2010/2002-844/114,49 à 53,51,RUE,JULES GUESDE,JULES GUESDE,L,10,bondy,93140,53 Rue Jules Guesde 93140 Bondy,0.84
SEQENS,93/1994/85-1231/003,60,60,RUE,JULES GUESDE,JULES GUESDE,L,12,bondy,93140,60 Rue Jules Guesde 93140 Bondy,0.97
SEQENS,93/1993/85-1231/164·,64,64,RUE,JULES GUESDE,JULES GUESDE,L,13,bondy,93140,64 Rue Jules Guesde 93140 Bondy,0.97
BONDY HABITAT,93/1999/85-1231/075,15 à 23,17,RUE,JULES GUESDE,JULES GUESDE,L,101,bondy,93140,23 Rue Jules Guesde 93140 Bondy,0.84
ANTIN RESIDENCES,93/1995/85-1231/057,71,71,RUE,JULES GUESDE,JULES GUESDE,L,105,bondy,93140,71 Rue Jules Guesde 93140 Bondy,0.97
SEINE-SAINT-DENIS HABITAT,93/2018/2011-1191/032,4/6/8,6,AVENUE,LEON BLUM,LEON BLUM,L,8,bondy,93140,8 Avenue Léon Blum 93140 Bondy,0.86
SEINE-SAINT-DENIS HABITAT,93/2018/2011-1191/0 34,4/6/8,6,AVENUE,LEON BLUM,LEON BLUM,L,15,bondy,93140,8 Avenue Léon Blum 93140 Bondy,0.86
SEINE-SAINT-DENIS HABITAT,93/2018/2011-1191/033,4/6/8,6,AVENUE,LEON BLUM,LEON BLUM,L,20,bondy,93140,8 Avenue Léon Blum 93140 Bondy,0.86
BONDY HABITAT,93/2011/2002-844/029,1-7,5,AVENUE,LEON BLUM,LEON BLUM,L,32,bondy,93140,7 Avenue Léon Blum 93140 Bondy,0.91
BONDY HABITAT,93/1988/85-1231/057,1-7,5,AVENUE,LEON BLUM,LEON BLUM,L,208,bondy,93140,7 Avenue Léon Blum 93140 Bondy,0.91
BONDY HABITAT,93/1988/85-1231/058,1-17,17,AVENUE,LEON BLUM,LEON BLUM,L,258,bondy,93140,17 Avenue Léon Blum 93140 Bondy,0.91
ICF LA SABLIERE,93/2015/2011-1191/045,"24-30
4",24,AVENUE,"LEON BLUM 
LEON JOUHAUX",LEON BLUM,L,5,bondy,93140,4 Avenue Leon Jouhaux 93140 Bondy,0.66
BONDY HABITAT,93/1987/85-1231/073,19 à 43,25,AVENUE,LEON BLUM ·,LEON BLUM ·,L,135,bondy,93140,43 Avenue Léon Blum 93140 Bondy,0.84
ICF LA SABLIERE,93/2015/2011-1191/046,"24-30
4",26,AVENUE,LEON BLUM LEON JOUHAUX,LEON BLUM,L,49,bondy,93140,4 Avenue Leon Jouhaux 93140 Bondy,0.66
IMMOBILIERE 3F,93/2009/2002-844/056,19,19,AVENUE,LEON JOUHAUX,LEON JOUHAUX,L,2,bondy,93140,19 Avenue Leon Jouhaux 93140 Bondy,0.97
IMMOBILIERE 3F,93/2014/2002-844/013,6,6,AVENUE,LEON JOUHAUX,LEON JOUHAUX,L,5,bondy,93140,6 Avenue Leon Jouhaux 93140 Bondy,0.97
IMMOBILIERE 3F,93/2009/2002-844/055,19,19,AVENUE,LEON JOUHAUX,LEON JOUHAUX,L,20,bondy,93140,19 Avenue Leon Jouhaux 93140 Bondy,0.97
BONDY HABITAT,93/2014/2011-1191/171,53,53,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,2,bondy,93140,53 Rue Louis Auguste Blanqui 93140 Bondy,0.98
BONDY HABITAT,93/2014/2011-1191/172,53,53,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,3,bondy,93140,53 Rue Louis Auguste Blanqui 93140 Bondy,0.98
BONDY HABITAT,93/2014/2011-1191/170,53BIS,53,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,10,bondy,93140,53bis Rue Louis Auguste Blanqui 93140 Bondy,0.98
BONDY HABITAT,93/2014/2011-1191/169,51BIS,51,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,70,bondy,93140,51bis Rue Louis Auguste Blanqui 93140 Bondy,0.98
ICF LA SABLIERE,93/1997/85-1231/083,125,125,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,200,bondy,93140,125 Rue Louis Auguste Blanqui 93140 Bondy,0.98
BONDY HABITAT,93/1998/85-1231/074,"106 bis à
132 bis",120,RUE,LOUIS AUGUSTE BLANQUI,LOUIS AUGUSTE BLANQUI,L,513,bondy,93140,132bis Rue Louis Auguste Blanqui 93140 Bondy,0.76
BONDY HABITAT,93/1990/85-1231/082,"35-43 et 71
20-24",71,"RUE 
AVENUE",LOUIS AUGUSTE BLANQUI DE LATTRE DE TASSIGNY,LOUIS AUGUSTE BLANQUI DE LATTRE DE TASSIGNY,L,116,bondy,93140,24 Rue Louis Auguste Blanqui 93140 Bondy,0.5
IMMOBILIERE 3F,93/2010/2002-844/179,140,140,RUE,LOUIS BLANQUI,LOUIS BLANQUI,L,2,bondy,93140,140 Rue Louis Auguste Blanqui 93140 Bondy,0.8
IMMOBILIERE 3F,93/2010/2002-844/180,140,140,RUE,LOUIS BLANQUI,LOUIS BLANQUI,L,16,bondy,93140,140 Rue Louis Auguste Blanqui 93140 Bondy,0.8
IMMOBILIERE 3F,93/2012/2002-844/010 ,38,38,RUE,LUCIEN CHAPELAIN,LUCIEN CHAPELAIN,L,15,bondy,93140,38 Rue Lucien Chapelain 93140 Bondy,0.97
IMMOBILIERE 3F,93/2012/2002-844/009,46,46,RUE,LUCIEN CHAPELAIN,LUCIEN CHAPELAIN,L,84,bondy,93140,46 Rue Lucien Chapelain 93140 Bondy,0.97
CDC HABITAT SOCIAL,93/2013/2011-1191/135,17,17,RUE,LUCIEN CHAPELAIN,LUCIEN CHAPELAIN,L,100,bondy,93140,17 Rue Lucien Chapelain 93140 Bondy,0.97
IMMOBILIERE 3F,93/2012/2002-844/011,44,44,RUE,"LUCIEN CHAPELAIN
FRANCOIS VILLON",FRANCOIS VILLON,L,9,bondy,93140,44 Rue Lucien Chapelain 93140 Bondy,0.68
LA PLAINE DE FRANCE,93/1995/85-1231/040,11-17,15,RUE,MAURICE BENHAMOU,MAURICE BENHAMOU,L,103,bondy,93140,17 Avenue Maurice Benhamou 93140 Bondy,0.75
LOGIS TRANSPORTS,93/1994/85-1231/145,"11-17
12",17,RUE,"MAURICE BENHAMOU
 HENRI VARAGNAT",MAURICE BENHAMOU,L,47,bondy,93140,12 Avenue Maurice Benhamou 93140 Bondy,0.56
CDC HABITAT SOCIAL,93/2017/2011-356/155,31,,AVENUE,PASTEUR,PASTEUR,F,100,bondy,93140,31 Avenue Pasteur 93140 Bondy,0.97
CDC HABITAT SOCIAL,93/2017/2011-356/156,31,,AVENUE,PASTEUR,PASTEUR,F,100,bondy,93140,31 Avenue Pasteur 93140 Bondy,0.97
