"clé","type","Nom court","Nom long","Type de périmètre (court)","Type de périmètre (long)","Date de début de validité","Date de fin de validité","Commentaires
(Vérification importante)","Source de la donnée"
" GARAGE DES 2 X ","BASIAS","Site BASIAS IDF9303353 (activité terminée) : GARAGE DES 2 X - GROSSIN Jean Claude (Ancien garage)","Site BASIAS IDF9303353 (activité terminée) : GARAGE DES 2 X - GROSSIN Jean Claude (Ancien garage)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303353 (activité terminée) : GARAGE DES 2 X - GROSSIN Jean Claude (Ancien garage)","BRGM / InfoTerre"
" GARAGE FILO et frères","BASIAS","Site BASIAS IDF9303354 (en activité) : GARAGE FILO et frères","Site BASIAS IDF9303354 (en activité) : GARAGE FILO et frères","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303354 (en activité) : GARAGE FILO et frères","BRGM / InfoTerre"
" GARAGE PARIS BONDY","BASIAS","Site BASIAS IDF9303355 (activité terminée) : GARAGE PARIS BONDY","Site BASIAS IDF9303355 (activité terminée) : GARAGE PARIS BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303355 (activité terminée) : GARAGE PARIS BONDY","BRGM / InfoTerre"
" GARAGE PEDROSA","BASIAS","Site BASIAS IDF9303356 (activité terminée) : GARAGE PEDROSA","Site BASIAS IDF9303356 (activité terminée) : GARAGE PEDROSA","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303356 (activité terminée) : GARAGE PEDROSA","BRGM / InfoTerre"
" GERARD","BASIAS","Site BASIAS IDF9302124 (activité terminée) : GERARD","Site BASIAS IDF9302124 (activité terminée) : GERARD","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302124 (activité terminée) : GERARD","BRGM / InfoTerre"
" GIRAUD","BASIAS","Site BASIAS IDF9302143 (activité terminée) : GIRAUD","Site BASIAS IDF9302143 (activité terminée) : GIRAUD","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302143 (activité terminée) : GIRAUD","BRGM / InfoTerre"
" GODBERG ","BASIAS","Site BASIAS IDF9302161 (activité terminée) : GODBERG (M.)  ; FONDERIES DURAND PEINEAU","Site BASIAS IDF9302161 (activité terminée) : GODBERG (M.)  ; FONDERIES DURAND PEINEAU","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302161 (activité terminée) : GODBERG (M.)  ; FONDERIES DURAND PEINEAU","BRGM / InfoTerre"
" GODIN","BASIAS","Site BASIAS IDF9302160 (activité terminée) : GODIN","Site BASIAS IDF9302160 (activité terminée) : GODIN","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302160 (activité terminée) : GODIN","BRGM / InfoTerre"
" GRAHAM ","BASIAS","Site BASIAS IDF9302142 (activité terminée) : GRAHAM (Sté) ; Sté URBAINE EXPLOITATION de MATERIAU de CONSTRUCTION ; Sté INTERNATIONALE de PNEUMATIQUE","Site BASIAS IDF9302142 (activité terminée) : GRAHAM (Sté) ; Sté URBAINE EXPLOITATION de MATERIAU de CONSTRUCTION ; Sté INTERNATIONALE de PNEUMATIQUE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302142 (activité terminée) : GRAHAM (Sté) ; Sté URBAINE EXPLOITATION de MATERIAU de CONSTRUCTION ; Sté INTERNATIONALE de PNEUMATIQUE","BRGM / InfoTerre"
" GRAND GARAGE de la GARE","BASIAS","Site BASIAS IDF9303357 (en activité) : GRAND GARAGE de la GARE - RENAULT","Site BASIAS IDF9303357 (en activité) : GRAND GARAGE de la GARE - RENAULT","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303357 (en activité) : GRAND GARAGE de la GARE - RENAULT","BRGM / InfoTerre"
" HAMPE et associés - RENAULT","BASIAS","Site BASIAS IDF9303358 (activité terminée) : HAMPE et associés - RENAULT","Site BASIAS IDF9303358 (activité terminée) : HAMPE et associés - RENAULT","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303358 (activité terminée) : HAMPE et associés - RENAULT","BRGM / InfoTerre"
" IMPRIMERIE MAUBERT","BASIAS","Site BASIAS IDF9302162 (activité terminée) : IMPRIMERIE MAUBERT","Site BASIAS IDF9302162 (activité terminée) : IMPRIMERIE MAUBERT","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302162 (activité terminée) : IMPRIMERIE MAUBERT","BRGM / InfoTerre"
" JOURNO MEYER","BASIAS","Site BASIAS IDF9302151 (activité terminée) : JOURNO MEYER","Site BASIAS IDF9302151 (activité terminée) : JOURNO MEYER","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302151 (activité terminée) : JOURNO MEYER","BRGM / InfoTerre"
" LAROCHE et Cie","BASIAS","Site BASIAS IDF9302123 (activité terminée) : LAROCHE et Cie","Site BASIAS IDF9302123 (activité terminée) : LAROCHE et Cie","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302123 (activité terminée) : LAROCHE et Cie","BRGM / InfoTerre"
" Les ATELIERS de BONDY","BASIAS","Site BASIAS IDF9302153 (activité terminée) : Les ATELIERS de BONDY","Site BASIAS IDF9302153 (activité terminée) : Les ATELIERS de BONDY","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302153 (activité terminée) : Les ATELIERS de BONDY","BRGM / InfoTerre"
" Les NOUVEAUX ATELIERS de MECANIQUE GENERALE","BASIAS","Site BASIAS IDF9302135 (activité terminée) : Les NOUVEAUX ATELIERS de MECANIQUE GENERALE ; LUCAZEAU","Site BASIAS IDF9302135 (activité terminée) : Les NOUVEAUX ATELIERS de MECANIQUE GENERALE ; LUCAZEAU","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302135 (activité terminée) : Les NOUVEAUX ATELIERS de MECANIQUE GENERALE ; LUCAZEAU","BRGM / InfoTerre"
" LUBEXPRESS ","BASIAS","Site BASIAS IDF9303351 (activité terminée) : LUBEXPRESS (SARL)","Site BASIAS IDF9303351 (activité terminée) : LUBEXPRESS (SARL)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303351 (activité terminée) : LUBEXPRESS (SARL)","BRGM / InfoTerre"
